,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 19 YEARS,nan,,
1,AUXRR101,-69 To 47,Range Of Values,Acoustic Reflex Right Ear 1KHz 01,Both males and females 12 YEARS - 19 YEARS,nan,,
2,AUXRR101,.,Missing,Acoustic Reflex Right Ear 1KHz 01,Both males and females 12 YEARS - 19 YEARS,nan,,
3,AUXRR102,-71 To 52,Range Of Values,Acoustic Reflex Right Ear 1KHz 02,Both males and females 12 YEARS - 19 YEARS,nan,,
4,AUXRR102,.,Missing,Acoustic Reflex Right Ear 1KHz 02,Both males and females 12 YEARS - 19 YEARS,nan,,
5,AUXRR103,-71 To 52,Range Of Values,Acoustic Reflex Right Ear 1KHz 03,Both males and females 12 YEARS - 19 YEARS,nan,,
6,AUXRR103,.,Missing,Acoustic Reflex Right Ear 1KHz 03,Both males and females 12 YEARS - 19 YEARS,nan,,
7,AUXRR104,-71 To 66,Range Of Values,Acoustic Reflex Right Ear 1KHz 04,Both males and females 12 YEARS - 19 YEARS,nan,,
8,AUXRR104,.,Missing,Acoustic Reflex Right Ear 1KHz 04,Both males and females 12 YEARS - 19 YEARS,nan,,
9,AUXRR105,-72 To 57,Range Of Values,Acoustic Reflex Right Ear 1KHz 05,Both males and females 12 YEARS - 19 YEARS,nan,,
10,AUXRR105,.,Missing,Acoustic Reflex Right Ear 1KHz 05,Both males and females 12 YEARS - 19 YEARS,nan,,
11,AUXRR106,-73 To 71,Range Of Values,Acoustic Reflex Right Ear 1KHz 06,Both males and females 12 YEARS - 19 YEARS,nan,,
12,AUXRR106,.,Missing,Acoustic Reflex Right Ear 1KHz 06,Both males and females 12 YEARS - 19 YEARS,nan,,
13,AUXRR107,-73 To 65,Range Of Values,Acoustic Reflex Right Ear 1KHz 07,Both males and females 12 YEARS - 19 YEARS,nan,,
14,AUXRR107,.,Missing,Acoustic Reflex Right Ear 1KHz 07,Both males and females 12 YEARS - 19 YEARS,nan,,
15,AUXRR108,-70 To 65,Range Of Values,Acoustic Reflex Right Ear 1KHz 08,Both males and females 12 YEARS - 19 YEARS,nan,,
16,AUXRR108,.,Missing,Acoustic Reflex Right Ear 1KHz 08,Both males and females 12 YEARS - 19 YEARS,nan,,
17,AUXRR109,-63 To 65,Range Of Values,Acoustic Reflex Right Ear 1KHz 09,Both males and females 12 YEARS - 19 YEARS,nan,,
18,AUXRR109,.,Missing,Acoustic Reflex Right Ear 1KHz 09,Both males and females 12 YEARS - 19 YEARS,nan,,
19,AUXRR110,-59 To 65,Range Of Values,Acoustic Reflex Right Ear 1KHz 10,Both males and females 12 YEARS - 19 YEARS,nan,,
20,AUXRR110,.,Missing,Acoustic Reflex Right Ear 1KHz 10,Both males and females 12 YEARS - 19 YEARS,nan,,
21,AUXRR111,-57 To 71,Range Of Values,Acoustic Reflex Right Ear 1KHz 11,Both males and females 12 YEARS - 19 YEARS,nan,,
22,AUXRR111,.,Missing,Acoustic Reflex Right Ear 1KHz 11,Both males and females 12 YEARS - 19 YEARS,nan,,
23,AUXRR112,-56 To 71,Range Of Values,Acoustic Reflex Right Ear 1KHz 12,Both males and females 12 YEARS - 19 YEARS,nan,,
24,AUXRR112,.,Missing,Acoustic Reflex Right Ear 1KHz 12,Both males and females 12 YEARS - 19 YEARS,nan,,
25,AUXRR113,-56 To 65,Range Of Values,Acoustic Reflex Right Ear 1KHz 13,Both males and females 12 YEARS - 19 YEARS,nan,,
26,AUXRR113,.,Missing,Acoustic Reflex Right Ear 1KHz 13,Both males and females 12 YEARS - 19 YEARS,nan,,
27,AUXRR114,-56 To 71,Range Of Values,Acoustic Reflex Right Ear 1KHz 14,Both males and females 12 YEARS - 19 YEARS,nan,,
28,AUXRR114,.,Missing,Acoustic Reflex Right Ear 1KHz 14,Both males and females 12 YEARS - 19 YEARS,nan,,
29,AUXRR115,-54 To 75,Range Of Values,Acoustic Reflex Right Ear 1KHz 15,Both males and females 12 YEARS - 19 YEARS,nan,,
30,AUXRR115,.,Missing,Acoustic Reflex Right Ear 1KHz 15,Both males and females 12 YEARS - 19 YEARS,nan,,
31,AUXRR116,-53 To 64,Range Of Values,Acoustic Reflex Right Ear 1KHz 16,Both males and females 12 YEARS - 19 YEARS,nan,,
32,AUXRR116,.,Missing,Acoustic Reflex Right Ear 1KHz 16,Both males and females 12 YEARS - 19 YEARS,nan,,
33,AUXRR117,-54 To 64,Range Of Values,Acoustic Reflex Right Ear 1KHz 17,Both males and females 12 YEARS - 19 YEARS,nan,,
34,AUXRR117,.,Missing,Acoustic Reflex Right Ear 1KHz 17,Both males and females 12 YEARS - 19 YEARS,nan,,
