,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 40 YEARS - 150 YEARS,nan,,
1,OPASCST1,1,Complete,FDT STATUS,Both males and females 40 YEARS - 150 YEARS,nan,,
2,OPASCST1,2,Partial,FDT STATUS,Both males and females 40 YEARS - 150 YEARS,nan,,
3,OPASCST1,3,Not Done,FDT STATUS,Both males and females 40 YEARS - 150 YEARS,nan,,
4,OPASCST1,.,Missing,FDT STATUS,Both males and females 40 YEARS - 150 YEARS,nan,,
5,OPASCCT1,1,Safety Exclusion,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
6,OPASCCT1,2,Sp Refusal,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
7,OPASCCT1,3,No Time,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
8,OPASCCT1,4,Physical Limitation,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
9,OPASCCT1,5,Communication Problem,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
10,OPASCCT1,6,Equipment Failure,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
11,OPASCCT1,7,Sp Ill/Emergency,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
12,OPASCCT1,12,Eye Specific Limitation,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
13,OPASCCT1,14,Interrupted,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
14,OPASCCT1,40,Unable To Follow Protocol,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
15,OPASCCT1,56,Came Late/Left Early,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
16,OPASCCT1,72,Error (Technician/Software/Supply),Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
17,OPASCCT1,84,Sp With Child,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
18,OPASCCT1,86,Sp Blind,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
19,OPASCCT1,87,Wheelchair Bound,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
20,OPASCCT1,.,Missing,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,nan,,
21,VIQ110,1,Yes,Does SP appear to have a severe eye infection in one or both eyes?,Both males and females 40 YEARS - 150 YEARS,nan,,
22,VIQ110,2,No,Does SP appear to have a severe eye infection in one or both eyes?,Both males and females 40 YEARS - 150 YEARS,nan,,
23,VIQ110,.,Missing,Does SP appear to have a severe eye infection in one or both eyes?,Both males and females 40 YEARS - 150 YEARS,nan,,
24,VIQ130,1,Yes,Is SP wearing an eye patch?,Both males and females 40 YEARS - 150 YEARS,nan,,
25,VIQ130,2,No,Is SP wearing an eye patch?,Both males and females 40 YEARS - 150 YEARS,nan,,
26,VIQ130,.,Missing,Is SP wearing an eye patch?,Both males and females 40 YEARS - 150 YEARS,nan,,
27,VIQ141,1,Right,If so which eye?,Both males and females 40 YEARS - 150 YEARS,nan,,
28,VIQ141,2,Left,If so which eye?,Both males and females 40 YEARS - 150 YEARS,nan,,
29,VIQ141,3,Both,If so which eye?,Both males and females 40 YEARS - 150 YEARS,nan,,
30,VIQ141,.,Missing,If so which eye?,Both males and females 40 YEARS - 150 YEARS,nan,,
31,OPDODFDT,0,Not Done,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
32,OPDODFDT,1,Normal,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
33,OPDODFDT,2,Positive,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
34,OPDODFDT,3,Insufficient,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
35,OPDODFDT,4,Unreliable,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
36,OPDODFDT,.,Missing,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
37,OPDOSFDT,0,Not Done,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
38,OPDOSFDT,1,Normal,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
39,OPDOSFDT,2,Positive,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
40,OPDOSFDT,3,Insufficient,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
41,OPDOSFDT,4,Unreliable,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
42,OPDOSFDT,.,Missing,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,nan,,
43,OPX1ODBS,0,Test Not Performed,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
44,OPX1ODBS,1,0/3,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
45,OPX1ODBS,2,1/3,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
46,OPX1ODBS,3,2/3,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
47,OPX1ODBS,4,3/3,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
48,OPX1ODBS,.,Missing,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
49,OPX1ODFP,0,Test Not Performed,False Positive Test - The ratio of the number of times participant responded to a pause during testing (i.e. no target presented) versus total number of pauses presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,nan,,
