,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,PEASCST1,1,Complete,,
2,PEASCST1,2,Partial,,
3,PEASCST1,3,Not Done,,
4,PEASCST1,.,Missing,,
5,PEASCTM1,3 To 1521,Range Of Values,,
6,PEASCTM1,.,Missing,,
7,PEASCCT1,2,Sp Refusal,,
8,PEASCCT1,3,No Time,,
9,PEASCCT1,4,Physical Limitation,,
10,PEASCCT1,5,Communication Problem,,
11,PEASCCT1,7,Sp Ill/Emergency,,
12,PEASCCT1,56,Came Late/Left Early,,
13,PEASCCT1,84,Sp With Child,,
14,PEASCCT1,99,"Other, Specify",,
15,PEASCCT1,.,Missing,,
16,BPXCHR,0 To 208,Range Of Values,,
17,BPXCHR,.,Missing,,
18,BPQ150A,1,Yes,,
19,BPQ150A,2,No,,
20,BPQ150A,.,Missing,,
21,BPQ150B,1,Yes,,
22,BPQ150B,2,No,,
23,BPQ150B,.,Missing,,
24,BPQ150C,1,Yes,,
25,BPQ150C,2,No,,
26,BPQ150C,.,Missing,,
27,BPQ150D,1,Yes,,
28,BPQ150D,2,No,,
29,BPQ150D,.,Missing,,
30,BPAARM,1,Right,,
31,BPAARM,2,Left,,
32,BPAARM,8,Could Not Obtain,,
33,BPAARM,.,Missing,,
34,BPACSZ,1,Infant (6X12),,
35,BPACSZ,2,Child (9X17),,
36,BPACSZ,3,Adult (12X22),,
37,BPACSZ,4,Large (15X32),,
38,BPACSZ,5,Thigh (18X35),,
39,BPACSZ,.,Missing,,
40,BPXPLS,40 To 224,Range Of Values,,
41,BPXPLS,.,Missing,,
42,BPXPULS,1,Regular,,
43,BPXPULS,2,Irregular,,
44,BPXPULS,.,Missing,,
45,BPXPTY,1,Radial,,
46,BPXPTY,2,Brachial,,
47,BPXPTY,8,Could Not Obtain,,
48,BPXPTY,.,Missing,,
49,BPXML1,110 To 240,Range Of Values,,
50,BPXML1,888,Could Not Obtain,,
51,BPXML1,.,Missing,,
52,BPXSY1,74 To 230,Range Of Values,,
53,BPXSY1,.,Missing,,
54,BPXDI1,0 To 116,Range Of Values,,
55,BPXDI1,.,Missing,,
56,BPAEN1,1,Yes,,
57,BPAEN1,2,No,,
58,BPAEN1,8,Could Not Obtain,,
59,BPAEN1,.,Missing,,
60,BPXSY2,76 To 220,Range Of Values,,
61,BPXSY2,.,Missing,,
62,BPXDI2,0 To 122,Range Of Values,,
63,BPXDI2,.,Missing,,
64,BPAEN2,1,Yes,,
65,BPAEN2,2,No,,
66,BPAEN2,8,Could Not Obtain,,
67,BPAEN2,.,Missing,,
68,BPXSY3,74 To 222,Range Of Values,,
69,BPXSY3,.,Missing,,
70,BPXDI3,.,Missing,,
71,BPXDI3,0 To 120,Range Of Values,,
72,BPAEN3,1,Yes,,
73,BPAEN3,2,No,,
74,BPAEN3,8,Could Not Obtain,,
75,BPAEN3,.,Missing,,
76,BPXSY4,80 To 214,Range Of Values,,
77,BPXSY4,.,Missing,,
78,BPXDI4,0 To 118,Range Of Values,,
79,BPXDI4,.,Missing,,
80,BPAEN4,1,Yes,,
81,BPAEN4,2,No,,
82,BPAEN4,8,Could Not Obtain,,
83,BPAEN4,.,Missing,,
