,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 19 YEARS,nan,,
1,AUDTYR01,0 To 1.06,Range Of Values,Tympanometry-Right Ear Measurement 1,Both males and females 12 YEARS - 19 YEARS,nan,,
2,AUDTYR01,.,Missing,Tympanometry-Right Ear Measurement 1,Both males and females 12 YEARS - 19 YEARS,nan,,
3,AUDTYR02,0 To 1.16,Range Of Values,Tympanometry-Right Ear Measurement 2,Both males and females 12 YEARS - 19 YEARS,nan,,
4,AUDTYR02,.,Missing,Tympanometry-Right Ear Measurement 2,Both males and females 12 YEARS - 19 YEARS,nan,,
5,AUDTYR03,0 To 1.22,Range Of Values,Tympanometry-Right Ear Measurement 3,Both males and females 12 YEARS - 19 YEARS,nan,,
6,AUDTYR03,.,Missing,Tympanometry-Right Ear Measurement 3,Both males and females 12 YEARS - 19 YEARS,nan,,
7,AUDTYR04,0 To 1.16,Range Of Values,Tympanometry-Right Ear Measurement 4,Both males and females 12 YEARS - 19 YEARS,nan,,
8,AUDTYR04,.,Missing,Tympanometry-Right Ear Measurement 4,Both males and females 12 YEARS - 19 YEARS,nan,,
9,AUDTYR05,0 To 1.19,Range Of Values,Tympanometry-Right Ear Measurement 5,Both males and females 12 YEARS - 19 YEARS,nan,,
10,AUDTYR05,.,Missing,Tympanometry-Right Ear Measurement 5,Both males and females 12 YEARS - 19 YEARS,nan,,
11,AUDTYR06,0 To 1.31,Range Of Values,Tympanometry-Right Ear Measurement 6,Both males and females 12 YEARS - 19 YEARS,nan,,
12,AUDTYR06,.,Missing,Tympanometry-Right Ear Measurement 6,Both males and females 12 YEARS - 19 YEARS,nan,,
13,AUDTYR07,0 To 1.56,Range Of Values,Tympanometry-Right Ear Measurement 7,Both males and females 12 YEARS - 19 YEARS,nan,,
14,AUDTYR07,.,Missing,Tympanometry-Right Ear Measurement 7,Both males and females 12 YEARS - 19 YEARS,nan,,
15,AUDTYR08,0 To 1.78,Range Of Values,Tympanometry-Right Ear Measurement 8,Both males and females 12 YEARS - 19 YEARS,nan,,
16,AUDTYR08,.,Missing,Tympanometry-Right Ear Measurement 8,Both males and females 12 YEARS - 19 YEARS,nan,,
17,AUDTYR09,0 To 1.97,Range Of Values,Tympanometry-Right Ear Measurement 9,Both males and females 12 YEARS - 19 YEARS,nan,,
18,AUDTYR09,.,Missing,Tympanometry-Right Ear Measurement 9,Both males and females 12 YEARS - 19 YEARS,nan,,
19,AUDTYR10,0 To 2.25,Range Of Values,Tympanometry-Right Ear Measurement 10,Both males and females 12 YEARS - 19 YEARS,nan,,
20,AUDTYR10,.,Missing,Tympanometry-Right Ear Measurement 10,Both males and females 12 YEARS - 19 YEARS,nan,,
21,AUDTYR11,0 To 2.59,Range Of Values,Tympanometry-Right Ear Measurement 11,Both males and females 12 YEARS - 19 YEARS,nan,,
22,AUDTYR11,.,Missing,Tympanometry-Right Ear Measurement 11,Both males and females 12 YEARS - 19 YEARS,nan,,
23,AUDTYR12,0 To 3.06,Range Of Values,Tympanometry-Right Ear Measurement 12,Both males and females 12 YEARS - 19 YEARS,nan,,
24,AUDTYR12,.,Missing,Tympanometry-Right Ear Measurement 12,Both males and females 12 YEARS - 19 YEARS,nan,,
25,AUDTYR13,0 To 3.84,Range Of Values,Tympanometry-Right Ear Measurement 13,Both males and females 12 YEARS - 19 YEARS,nan,,
26,AUDTYR13,.,Missing,Tympanometry-Right Ear Measurement 13,Both males and females 12 YEARS - 19 YEARS,nan,,
27,AUDTYR14,0 To 4.59,Range Of Values,Tympanometry-Right Ear Measurement 14,Both males and females 12 YEARS - 19 YEARS,nan,,
28,AUDTYR14,.,Missing,Tympanometry-Right Ear Measurement 14,Both males and females 12 YEARS - 19 YEARS,nan,,
29,AUDTYR15,0 To 5.06,Range Of Values,Tympanometry-Right Ear Measurement 15,Both males and females 12 YEARS - 19 YEARS,nan,,
30,AUDTYR15,.,Missing,Tympanometry-Right Ear Measurement 15,Both males and females 12 YEARS - 19 YEARS,nan,,
31,AUDTYR16,0 To 5.13,Range Of Values,Tympanometry-Right Ear Measurement 16,Both males and females 12 YEARS - 19 YEARS,nan,,
32,AUDTYR16,.,Missing,Tympanometry-Right Ear Measurement 16,Both males and females 12 YEARS - 19 YEARS,nan,,
33,AUDTYR17,0 To 4.78,Range Of Values,Tympanometry-Right Ear Measurement 17,Both males and females 12 YEARS - 19 YEARS,nan,,
34,AUDTYR17,.,Missing,Tympanometry-Right Ear Measurement 17,Both males and females 12 YEARS - 19 YEARS,nan,,
35,AUDTYR18,0 To 4.03,Range Of Values,Tympanometry-Right Ear Measurement 18,Both males and females 12 YEARS - 19 YEARS,nan,,
36,AUDTYR18,.,Missing,Tympanometry-Right Ear Measurement 18,Both males and females 12 YEARS - 19 YEARS,nan,,
37,AUDTYR19,0 To 3.91,Range Of Values,Tympanometry-Right Ear Measurement 19,Both males and females 12 YEARS - 19 YEARS,nan,,
38,AUDTYR19,.,Missing,Tympanometry-Right Ear Measurement 19,Both males and females 12 YEARS - 19 YEARS,nan,,
39,AUDTYR20,0 To 4.19,Range Of Values,Tympanometry-Right Ear Measurement 20,Both males and females 12 YEARS - 19 YEARS,nan,,
40,AUDTYR20,.,Missing,Tympanometry-Right Ear Measurement 20,Both males and females 12 YEARS - 19 YEARS,nan,,
41,AUDTYR21,0 To 4,Range Of Values,Tympanometry-Right Ear Measurement 21,Both males and females 12 YEARS - 19 YEARS,nan,,
42,AUDTYR21,.,Missing,Tympanometry-Right Ear Measurement 21,Both males and females 12 YEARS - 19 YEARS,nan,,
43,AUDTYR22,0 To 3.34,Range Of Values,Tympanometry-Right Ear Measurement 22,Both males and females 12 YEARS - 19 YEARS,nan,,
44,AUDTYR22,.,Missing,Tympanometry-Right Ear Measurement 22,Both males and females 12 YEARS - 19 YEARS,nan,,
45,AUDTYR23,0 To 2.5,Range Of Values,Tympanometry-Right Ear Measurement 23,Both males and females 12 YEARS - 19 YEARS,nan,,
