,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DXAFMRST,1,"Femur Scan Completed, All Data Are Valid",,
2,DXAFMRST,2,"Femur Scan Completed, But All Data Are Invalid",,
3,DXAFMRST,3,"Femur Not Scanned, Pregnant",,
4,DXAFMRST,4,"Femur Not Scanned, Weight > 300 Lbs",,
5,DXAFMRST,5,"Femur Not Scanned, Other Reason",,
6,DXAFMRST,.,Missing,,
7,DXXFMBCC,0,Valid Data,,
8,DXXFMBCC,1,Jewelry Or Other Objects Not Removed,,
9,DXXFMBCC,2,Non-Removable Objects Such As Implants,,
10,DXXFMBCC,3,Excessive X-Ray Noise Due To Obesity,,
11,DXXFMBCC,4,Body Parts Out Of Scan Region,,
12,DXXFMBCC,5,Positioning Problem,,
13,DXXFMBCC,6,"Other (Includes Panniculus, Participant Motion, Unknown Artifact)",,
14,DXXFMBCC,.,Missing,,
15,DXXOFBMD,0.326 To 1.719,Range Of Values,,
16,DXXOFBMD,.,Missing,,
17,DXXOFBMC,4.9 To 71.28,Range Of Values,,
18,DXXOFBMC,.,Missing,,
19,DXXOFA,10.59 To 57.11,Range Of Values,,
20,DXXOFA,.,Missing,,
21,DXXNKBMD,0.334 To 1.626,Range Of Values,,
22,DXXNKBMD,.,Missing,,
23,DXXNKBMC,0.89 To 9.17,Range Of Values,,
24,DXXNKBMC,.,Missing,,
25,DXXNKA,2.27 To 8.3,Range Of Values,,
26,DXXNKA,.,Missing,,
27,DXXTRBMD,0.214 To 1.382,Range Of Values,,
28,DXXTRBMD,.,Missing,,
29,DXXTRBMC,0.59 To 21.88,Range Of Values,,
30,DXXTRBMC,.,Missing,,
31,DXXTRA,1.48 To 20.52,Range Of Values,,
32,DXXTRA,.,Missing,,
33,DXXINBMD,0.394 To 1.968,Range Of Values,,
34,DXXINBMD,.,Missing,,
35,DXXINBMC,3.42 To 46.59,Range Of Values,,
36,DXXINBMC,.,Missing,,
37,DXXINA,6.63 To 34.93,Range Of Values,,
38,DXXINA,.,Missing,,
39,DXXWDBMD,0.081 To 1.712,Range Of Values,,
40,DXXWDBMD,.,Missing,,
41,DXXWDBMC,0.09 To 2.15,Range Of Values,,
42,DXXWDBMC,.,Missing,,
43,DXXWDA,0.84 To 1.35,Range Of Values,,
44,DXXWDA,.,Missing,,
45,DXAFMRK,1.1175 To 1.1557,Range Of Values,,
46,DXAFMRK,.,Missing,,
47,DXAFMRD0,40.2213 To 84.4334,Range Of Values,,
48,DXAFMRD0,.,Missing,,
