,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DXDLSPST,1,"Iva Lateral Spine Scan Completed, All Vertebra Are Valid",,
2,DXDLSPST,2,"Iva Lateral Spine Scan Completed, But One Or More Vertebrae Are Invalid",,
3,DXDLSPST,3,"Iva Lateral Spine Not Scanned, Pregnancy",,
4,DXDLSPST,4,"Iva Lateral Spine Not Scanned, Weight > 450 Lbs",,
5,DXDLSPST,5,"Iva Lateral Spine Not Scanned, Other Reason",,
6,DXDLSPST,.,Missing,,
7,DXXT4CC,0,Valid Data,,
8,DXXT4CC,1,Removable Or Non-Removable Objects,,
9,DXXT4CC,3,Excessive X-Ray Noise Due To Morbid Obesity,,
10,DXXT4CC,4,Insufficient Scan Area,,
11,DXXT4CC,5,Movement,,
12,DXXT4CC,6,"Other (Degenerative Diseases, Spinal Fusion, Fractures)",,
13,DXXT4CC,.,Missing,,
14,DXXINITX,98.7 To 290.1,Range Of Values,,
15,DXXINITX,.,Missing,,
16,DXXINITY,12.3 To 464.4,Range Of Values,,
17,DXXINITY,.,Missing,,
18,DXXANIDX,0,0,,
19,DXXANIDX,.,Missing,,
20,DXXLABEL,T4,T4,,
21,DXXLABEL,< Blank >,Missing,,
22,DXXSQSCR,0 To 2,Range Of Values,,
23,DXXSQSCR,.,Missing,,
24,DXXPOSTH,32.9 To 82.4,Range Of Values,,
25,DXXPOSTH,.,Missing,,
26,DXXANTEH,30.3 To 76.5,Range Of Values,,
27,DXXANTEH,.,Missing,,
28,DXXMIDH,26.8 To 67.4,Range Of Values,,
29,DXXMIDH,.,Missing,,
30,DXXWDGRT,0.7 To 1.1,Range Of Values,,
31,DXXWDGRT,.,Missing,,
32,DXXBICRT,0.7 To 1.1,Range Of Values,,
33,DXXBICRT,.,Missing,,
34,DXXCRURT,0.8 To 1.7,Range Of Values,,
35,DXXCRURT,.,Missing,,
36,DXXWDGDE,-0.111 To 0.29,Range Of Values,,
37,DXXWDGDE,.,Missing,,
38,DXXBICDE,-0.08 To 0.287,Range Of Values,,
39,DXXBICDE,.,Missing,,
40,DXXCRUDE,-0.712 To 0.239,Range Of Values,,
41,DXXCRUDE,.,Missing,,
42,DXXSPX,0 To 2,Range Of Values,,
43,DXXSPX,.,Missing,,
44,DXXSPY,0 To 1,Range Of Values,,
45,DXXSPY,.,Missing,,
46,DXXSMX,0 To 2,Range Of Values,,
47,DXXSMX,.,Missing,,
48,DXXSMY,73.7 To 258.6,Range Of Values,,
49,DXXSMY,.,Missing,,
50,DXXSAX,-41.1 To 427.6,Range Of Values,,
51,DXXSAX,.,Missing,,
52,DXXSAY,102.2 To 291.8,Range Of Values,,
53,DXXSAY,.,Missing,,
54,DXXIAX,-8.5 To 440.4,Range Of Values,,
55,DXXIAX,.,Missing,,
56,DXXIAY,127.9 To 326,Range Of Values,,
57,DXXIAY,.,Missing,,
58,DXXIMX,4.2 To 450,Range Of Values,,
59,DXXIMX,.,Missing,,
60,DXXIMY,117.2 To 316,Range Of Values,,
61,DXXIMY,.,Missing,,
62,DXXIPX,45 To 499.2,Range Of Values,,
63,DXXIPX,.,Missing,,
64,DXXIPY,91.5 To 282.2,Range Of Values,,
65,DXXIPY,.,Missing,,
66,DXXPT0X,30.4 To 490.6,Range Of Values,,
67,DXXPT0X,.,Missing,,
68,DXXPT0Y,63.4 To 248.6,Range Of Values,,
69,DXXPT0Y,.,Missing,,
70,DXXPT1X,14.8 To 480.7,Range Of Values,,
71,DXXPT1X,.,Missing,,
72,DXXPT1Y,129.7 To 329.4,Range Of Values,,
73,DXXPT1Y,.,Missing,,
74,DXXPT2X,4.2 To 450.8,Range Of Values,,
75,DXXPT2X,.,Missing,,
76,DXXPT2Y,131.5 To 330.8,Range Of Values,,
77,DXXPT2Y,.,Missing,,
78,DXXPT3X,5.2 To 453.5,Range Of Values,,
79,DXXPT3X,.,Missing,,
