,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DXAEXSTS,1,Whole Body Scan Completed,,
2,DXAEXSTS,2,"Whole Body Scan Completed, But Invalid",,
3,DXAEXSTS,3,"Whole Body Not Scanned, Pregnancy",,
4,DXAEXSTS,4,"Whole Body Not Scanned, Weight > 450 Lbs",,
5,DXAEXSTS,5,"Whole Body Not Scanned, Height > 6'5",,
6,DXAEXSTS,6,"Whole Body Not Scanned, Other Reason",,
7,DXAEXSTS,.,Missing,,
8,DXAHEBV,0,Valid Data,,
9,DXAHEBV,1,Removable Or Non-Removable Objects,,
10,DXAHEBV,5,Body Parts Out Of Scan Region,,
11,DXAHEBV,6,Positioning Problem,,
12,DXAHEBV,7,Other,,
13,DXAHEBV,.,Missing,,
14,DXXHEA,179.48 To 290.21,Range Of Values,,
15,DXXHEA,.,Missing,,
16,DXXHEBMC,189.78 To 852.99,Range Of Values,,
17,DXXHEBMC,.,Missing,,
18,DXXHEBMD,0.989 To 3.773,Range Of Values,,
19,DXXHEBMD,.,Missing,,
20,DXAHETV,0,Valid Data,,
21,DXAHETV,1,Removable Or Non-Removable Objects,,
22,DXAHETV,5,Body Parts Out Of Scan Region,,
23,DXAHETV,6,Positioning Problem,,
24,DXAHETV,7,Other,,
25,DXAHETV,.,Missing,,
26,DXXHEFAT,651.7 To 2094,Range Of Values,,
27,DXXHEFAT,.,Missing,,
28,DXDHELE,1814 To 5063.7,Range Of Values,,
29,DXDHELE,.,Missing,,
30,DXXHELI,2017.6 To 5538.2,Range Of Values,,
31,DXXHELI,.,Missing,,
32,DXDHETOT,2669.3 To 7609.2,Range Of Values,,
33,DXDHETOT,.,Missing,,
34,DXDHEPF,22.4 To 28.3,Range Of Values,,
35,DXDHEPF,.,Missing,,
36,DXALABV,0,Valid Data,,
37,DXALABV,1,Removable Or Non-Removable Objects,,
38,DXALABV,4,Arm/Leg Overlap,,
39,DXALABV,5,Body Parts Out Of Scan Region,,
40,DXALABV,6,Positioning Problem,,
41,DXALABV,7,Other,,
42,DXALABV,.,Missing,,
43,DXXLAA,70.75 To 404.91,Range Of Values,,
44,DXXLAA,.,Missing,,
45,DXXLABMC,28.88 To 392.03,Range Of Values,,
46,DXXLABMC,.,Missing,,
47,DXXLABMD,0.34 To 1.361,Range Of Values,,
48,DXXLABMD,.,Missing,,
49,DXALATV,0,Valid Data,,
50,DXALATV,1,Removable Or Non-Removable Objects,,
51,DXALATV,4,Arm/Leg Overlap,,
52,DXALATV,5,Body Parts Out Of Scan Region,,
53,DXALATV,6,Positioning Problem,,
54,DXALATV,7,Other,,
55,DXALATV,.,Missing,,
56,DXXLAFAT,169.4 To 7409.4,Range Of Values,,
57,DXXLAFAT,.,Missing,,
58,DXDLALE,585.6 To 8611.3,Range Of Values,,
59,DXDLALE,.,Missing,,
60,DXXLALI,614.5 To 8907.6,Range Of Values,,
61,DXXLALI,.,Missing,,
62,DXDLATOT,925.3 To 13308.5,Range Of Values,,
63,DXDLATOT,.,Missing,,
64,DXDLAPF,10.7 To 67.2,Range Of Values,,
65,DXDLAPF,.,Missing,,
66,DXALLBV,0,Valid Data,,
67,DXALLBV,1,Removable Or Non-Removable Objects,,
68,DXALLBV,4,Arm/Leg Overlap,,
69,DXALLBV,5,Body Parts Out Of Scan Region,,
70,DXALLBV,6,Positioning Problem,,
71,DXALLBV,7,Other,,
72,DXALLBV,.,Missing,,
73,DXXLLA,159.13 To 529.65,Range Of Values,,
74,DXXLLA,.,Missing,,
75,DXXLLBMC,87.05 To 985.58,Range Of Values,,
76,DXXLLBMC,.,Missing,,
77,DXXLLBMD,0.499 To 2.904,Range Of Values,,
78,DXXLLBMD,.,Missing,,
79,DXALLTV,0,Valid Data,,
80,DXALLTV,1,Removable Or Non-Removable Objects,,
81,DXALLTV,4,Arm/Leg Overlap,,
82,DXALLTV,5,Body Parts Out Of Scan Region,,
83,DXALLTV,6,Positioning Problem,,
84,DXALLTV,7,Other,,
85,DXALLTV,.,Missing,,
86,DXXLLFAT,618.8 To 16741.6,Range Of Values,,
87,DXXLLFAT,.,Missing,,
88,DXDLLLE,1431.2 To 18663.2,Range Of Values,,
89,DXDLLLE,.,Missing,,
90,DXXLLLI,1518.2 To 19301.1,Range Of Values,,
91,DXXLLLI,.,Missing,,
92,DXDLLTOT,2745.8 To 31334.9,Range Of Values,,
93,DXDLLTOT,.,Missing,,
94,DXDLLPF,10.3 To 61,Range Of Values,,
95,DXDLLPF,.,Missing,,
96,DXARABV,0,Valid Data,,
97,DXARABV,1,Removable Or Non-Removable Objects,,
98,DXARABV,4,Arm/Leg Overlap,,
99,DXARABV,5,Body Parts Out Of Scan Region,,
100,DXARABV,6,Positioning Problem,,
101,DXARABV,7,Other,,
102,DXARABV,.,Missing,,
103,DXXRAA,81.95 To 404.91,Range Of Values,,
104,DXXRAA,.,Missing,,
105,DXXRABMC,30.18 To 414.16,Range Of Values,,
106,DXXRABMC,.,Missing,,
107,DXXRABMD,0.318 To 1.264,Range Of Values,,
108,DXXRABMD,.,Missing,,
109,DXARATV,0,Valid Data,,
110,DXARATV,1,Removable Or Non-Removable Objects,,
111,DXARATV,4,Arm/Leg Overlap,,
112,DXARATV,5,Body Parts Out Of Scan Region,,
113,DXARATV,6,Positioning Problem,,
114,DXARATV,7,Other,,
115,DXARATV,.,Missing,,
116,DXXRAFAT,137.5 To 7409.4,Range Of Values,,
117,DXXRAFAT,.,Missing,,
118,DXDRALE,597.5 To 8611.3,Range Of Values,,
119,DXDRALE,.,Missing,,
120,DXXRALI,633 To 8907.6,Range Of Values,,
121,DXXRALI,.,Missing,,
122,DXDRATOT,918.9 To 13308.5,Range Of Values,,
123,DXDRATOT,.,Missing,,
124,DXDRAPF,10.2 To 67.2,Range Of Values,,
125,DXDRAPF,.,Missing,,
126,DXARLBV,0,Valid Data,,
127,DXARLBV,1,Removable Or Non-Removable Objects,,
128,DXARLBV,4,Arm/Leg Overlap,,
129,DXARLBV,5,Body Parts Out Of Scan Region,,
130,DXARLBV,6,Positioning Problem,,
131,DXARLBV,7,Other,,
132,DXARLBV,.,Missing,,
133,DXXRLA,144.76 To 529.05,Range Of Values,,
134,DXXRLA,.,Missing,,
135,DXXRLBMC,85.96 To 882.07,Range Of Values,,
136,DXXRLBMC,.,Missing,,
137,DXXRLBMD,0.474 To 1.811,Range Of Values,,
138,DXXRLBMD,.,Missing,,
139,DXARLTV,0,Valid Data,,
140,DXARLTV,1,Removable Or Non-Removable Objects,,
141,DXARLTV,4,Arm/Leg Overlap,,
142,DXARLTV,5,Body Parts Out Of Scan Region,,
143,DXARLTV,6,Positioning Problem,,
144,DXARLTV,7,Other,,
145,DXARLTV,.,Missing,,
146,DXXRLFAT,515 To 19738.6,Range Of Values,,
147,DXXRLFAT,.,Missing,,
148,DXDRLLE,1465.6 To 18977.5,Range Of Values,,
149,DXDRLLE,.,Missing,,
150,DXXRLLI,1551.5 To 19730.7,Range Of Values,,
151,DXXRLLI,.,Missing,,
152,DXDRLTOT,2854.6 To 36990.9,Range Of Values,,
153,DXDRLTOT,.,Missing,,
154,DXDRLPF,10.5 To 60.3,Range Of Values,,
155,DXDRLPF,.,Missing,,
156,DXXLRA,44.31 To 207.27,Range Of Values,,
157,DXXLRA,.,Missing,,
158,DXXLRBMC,16.03 To 170.56,Range Of Values,,
159,DXXLRBMC,.,Missing,,
160,DXXLRBMD,0.324 To 1.07,Range Of Values,,
161,DXXLRBMD,.,Missing,,
162,DXXRRA,42.66 To 265.74,Range Of Values,,
163,DXXRRA,.,Missing,,
164,DXXRRBMC,13.22 To 220.91,Range Of Values,,
165,DXXRRBMC,.,Missing,,
166,DXXRRBMD,0.31 To 1.057,Range Of Values,,
167,DXXRRBMD,.,Missing,,
168,DXXTSA,47.54 To 262,Range Of Values,,
169,DXXTSA,.,Missing,,
170,DXXTSBMC,19.51 To 260.26,Range Of Values,,
171,DXXTSBMC,.,Missing,,
172,DXXTSBMD,0.334 To 1.447,Range Of Values,,
173,DXXTSBMD,.,Missing,,
174,DXXLSA,8.39 To 85.54,Range Of Values,,
175,DXXLSA,.,Missing,,
176,DXXLSBMC,4.77 To 119.38,Range Of Values,,
177,DXXLSBMC,.,Missing,,
178,DXXLSBMD,0.441 To 1.84,Range Of Values,,
179,DXXLSBMD,.,Missing,,
180,DXXPEA,69.76 To 358.94,Range Of Values,,
181,DXXPEA,.,Missing,,
182,DXXPEBMC,48.66 To 629.44,Range Of Values,,
183,DXXPEBMC,.,Missing,,
184,DXXPEBMD,0.49 To 2.127,Range Of Values,,
185,DXXPEBMD,.,Missing,,
186,DXATRBV,5,Body Parts Out Of Scan Region,,
187,DXATRBV,6,Positioning Problem,,
188,DXATRBV,7,Other,,
189,DXATRBV,.,Missing,,
190,DXATRBV,0,Valid Data,,
191,DXATRBV,1,Removable Or Non-Removable Objects,,
192,DXATRBV,3,Excessive X-Ray Noise Due To Morbid Obesity,,
193,DXATRBV,4,Arm/Leg Overlap,,
194,DXDTRA,286.83 To 996.25,Range Of Values,,
195,DXDTRA,.,Missing,,
196,DXDTRBMC,121.37 To 1266.25,Range Of Values,,
197,DXDTRBMC,.,Missing,,
198,DXDTRBMD,0.418 To 1.389,Range Of Values,,
199,DXDTRBMD,.,Missing,,
200,DXATRTV,0,Valid Data,,
201,DXATRTV,1,Removable Or Non-Removable Objects,,
202,DXATRTV,3,Excessive X-Ray Noise Due To Morbid Obesity,,
203,DXATRTV,4,Arm/Leg Overlap,,
204,DXATRTV,5,Body Parts Out Of Scan Region,,
205,DXATRTV,6,Positioning Problem,,
206,DXATRTV,7,Other,,
207,DXATRTV,.,Missing,,
208,DXXTRFAT,980.2 To 47828,Range Of Values,,
209,DXXTRFAT,.,Missing,,
210,DXDTRLE,5327.8 To 51338.2,Range Of Values,,
211,DXDTRLE,.,Missing,,
212,DXXTRLI,5455.3 To 54681.1,Range Of Values,,
213,DXXTRLI,.,Missing,,
214,DXDTRTOT,7011.8 To 91081.5,Range Of Values,,
215,DXDTRTOT,.,Missing,,
216,DXDTRPF,9.9 To 55,Range Of Values,,
217,DXDTRPF,.,Missing,,
218,DXDSTA,813.34 To 2677.65,Range Of Values,,
219,DXDSTA,.,Missing,,
220,DXDSTBMC,364.96 To 3575.34,Range Of Values,,
221,DXDSTBMC,.,Missing,,
222,DXDSTBMD,0.427 To 1.375,Range Of Values,,
223,DXDSTBMD,.,Missing,,
224,DXDSTFAT,2506.7 To 76324.7,Range Of Values,,
225,DXDSTFAT,.,Missing,,
226,DXDSTLE,9407.6 To 104152.2,Range Of Values,,
227,DXDSTLE,.,Missing,,
228,DXDSTLI,9772.6 To 107268.4,Range Of Values,,
229,DXDSTLI,.,Missing,,
230,DXDSTTOT,14904.4 To 172671.1,Range Of Values,,
231,DXDSTTOT,.,Missing,,
232,DXDSTPF,10.8 To 55.9,Range Of Values,,
233,DXDSTPF,.,Missing,,
234,DXDTOA,1010.92 To 2904.16,Range Of Values,,
235,DXDTOA,.,Missing,,
236,DXDTOBMC,582.91 To 4356.01,Range Of Values,,
237,DXDTOBMC,.,Missing,,
238,DXDTOBMD,0.55 To 1.518,Range Of Values,,
239,DXDTOBMD,.,Missing,,
240,DXDTOFAT,3197.1 To 77483.6,Range Of Values,,
241,DXDTOFAT,.,Missing,,
242,DXDTOLE,11594.7 To 107867.8,Range Of Values,,
243,DXDTOLE,.,Missing,,
244,DXDTOLI,12177.6 To 111462.9,Range Of Values,,
245,DXDTOLI,.,Missing,,
246,DXDTOTOT,17913.4 To 178619.1,Range Of Values,,
247,DXDTOTOT,.,Missing,,
248,DXDTOPF,11.7 To 54.7,Range Of Values,,
249,DXDTOPF,.,Missing,,
