,Column,Code,Label,Class,Other For
0,OHDDESTS,1,Complete,,
1,OHDDESTS,2,Partial,,
2,OHDDESTS,3,Not Done,,
3,OHDDESTS,.,Missing,,
4,OHDEXSTS,1,Complete,,
5,OHDEXSTS,2,Partial,,
6,OHDEXSTS,3,Not Done,,
7,OHDEXSTS,.,Missing,,
8,OHX01TC,1,Primary Tooth (Deciduous) Present,,
9,OHX01TC,2,Permanent Tooth Present,,
10,OHX01TC,3,Dental Implant,,
11,OHX01TC,4,Tooth Not Present,,
12,OHX01TC,5,Permanent Dental Root Fragment Present,,
13,OHX01TC,9,Could Not Assess,,
14,OHX01TC,.,Missing,,
15,OHX02CSC,4,Distal Amalgam Restoration,,
16,OHX02CSC,5,Lingual Other Restoration,,
17,OHX02CSC,6,Occlusal Other Restoration,,
18,OHX02CSC,7,Facial Other Restoration,,
19,OHX02CSC,8,Mesial Other Restoration,,
20,OHX02CSC,9,Distal Other Restoration,,
21,OHX02CSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
22,OHX02CSC,-4,Lingual Caries,,
23,OHX02CSC,-5,Occlusal Caries,,
24,OHX02CSC,-6,Facial Caries,,
25,OHX02CSC,-7,Mesial Caries,,
26,OHX02CSC,-8,Distal Caries,,
27,OHX02CSC,< Blank >,Missing,,
28,OHX02CSC,Coronal Caries: Surface Condition #2,Value Was Recorded,,
29,OHX02CSC,0,Lingual Amalgam Restoration,,
30,OHX02CSC,1,Occlusal Amalgam Restoration,,
31,OHX02CSC,2,Facial Amalgam Restoration,,
32,OHX02CSC,3,Mesial Amalgam Restoration,,
33,OHX02CTC,A,Primary Tooth With A Restored Surface Condition,,
34,OHX02CTC,D,Sound Primary Tooth,,
35,OHX02CTC,E,Missing Due To Dental Disease,,
36,OHX02CTC,F,Permanent Tooth With A Restored Surface Condition,,
37,OHX02CTC,J,Permanent Root Tip Is Present But No Restorative Replacement Is Present,,
38,OHX02CTC,K,Primary Tooth With A Dental Carious Surface Condition,,
39,OHX02CTC,M,Missing Due To Other Causes,,
40,OHX02CTC,P,Missing Due To Dental Disease But Replaced By A Removable Restoration,,
41,OHX02CTC,Q,Missing Due To Other Causes But Replaced By A Removable Restoration,,
42,OHX02CTC,R,Missing Due To Dental Disease But Replaced By A Fixed Restoration,,
43,OHX02CTC,S,Sound Permanent Tooth,,
44,OHX02CTC,T,Permanent Root Tip Is Present But A Restorative Replacement Is Present,,
45,OHX02CTC,U,Unerupted,,
46,OHX02CTC,X,Missing Due To Other Causes But Replaced By A Fixed Restoration,,
47,OHX02CTC,Y,"Tooth Present, Condition Cannot Be Assessed",,
48,OHX02CTC,Z,Permanent Tooth With A Dental Carious Surface Condition,,
49,OHX02CTC,< Blank >,Missing,,
50,OHX02RSC,Coronal Caries: 2Nd Restoration Code #2,Value Was Recorded,,
51,OHX02RSC,0,Lingual Amalgam Restoration,,
52,OHX02RSC,1,Occlusal Amalgam Restoration,,
53,OHX02RSC,2,Facial Amalgam Restoration,,
54,OHX02RSC,3,Mesial Amalgam Restoration,,
55,OHX02RSC,4,Distal Amalgam Restoration,,
56,OHX02RSC,5,Lingual Other Restoration,,
57,OHX02RSC,6,Occlusal Other Restoration,,
58,OHX02RSC,7,Facial Other Restoration,,
59,OHX02RSC,8,Mesial Other Restoration,,
60,OHX02RSC,9,Distal Other Restoration,,
61,OHX02RSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
62,OHX02RSC,< Blank >,Missing,,
63,OHX02RTC,A,Primary Tooth With Secondary Dental Restoration Present,,
64,OHX02RTC,F,Permanent Tooth With Secondary Dental Restoration Present,,
65,OHX02RTC,< Blank >,Missing,,
66,OHX02SE,0,Sealant Not Present,,
67,OHX02SE,1,Occlusal Sealant On Permanent Tooth,,
68,OHX02SE,2,Facial Sealant On Permanent Tooth,,
69,OHX02SE,3,Lingual Sealant On Permanent Tooth,,
70,OHX02SE,4,Occlusal Sealant On Primary Tooth,,
71,OHX02SE,9,Cannot Be Assessed,,
72,OHX02SE,12,Occlusal-Facial Sealant On Permanent Tooth,,
73,OHX02SE,13,Occlusal-Lingual Sealant On Permanent Tooth,,
74,OHX02SE,< Blank >,Missing,,
75,OHX02TC,1,Primary Tooth (Deciduous) Present,,
76,OHX02TC,2,Permanent Tooth Present,,
77,OHX02TC,3,Dental Implant,,
78,OHX02TC,4,Tooth Not Present,,
79,OHX02TC,5,Permanent Dental Root Fragment Present,,
80,OHX02TC,9,Could Not Assess,,
81,OHX02TC,.,Missing,,
82,OHX03CSC,Coronal Caries: Surface Condition #3,Value Was Recorded,,
83,OHX03CSC,0,Lingual Amalgam Restoration,,
84,OHX03CSC,1,Occlusal Amalgam Restoration,,
85,OHX03CSC,2,Facial Amalgam Restoration,,
86,OHX03CSC,3,Mesial Amalgam Restoration,,
87,OHX03CSC,4,Distal Amalgam Restoration,,
88,OHX03CSC,5,Lingual Other Restoration,,
89,OHX03CSC,6,Occlusal Other Restoration,,
90,OHX03CSC,7,Facial Other Restoration,,
91,OHX03CSC,8,Mesial Other Restoration,,
92,OHX03CSC,9,Distal Other Restoration,,
93,OHX03CSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
94,OHX03CSC,-4,Lingual Caries,,
95,OHX03CSC,-5,Occlusal Caries,,
96,OHX03CSC,-6,Facial Caries,,
97,OHX03CSC,-7,Mesial Caries,,
98,OHX03CSC,-8,Distal Caries,,
99,OHX03CSC,< Blank >,Missing,,
100,OHX03CTC,J,Permanent Root Tip Is Present But No Restorative Replacement Is Present,,
101,OHX03CTC,K,Primary Tooth With A Dental Carious Surface Condition,,
102,OHX03CTC,M,Missing Due To Other Causes,,
103,OHX03CTC,P,Missing Due To Dental Disease But Replaced By A Removable Restoration,,
104,OHX03CTC,Q,Missing Due To Other Causes But Replaced By A Removable Restoration,,
105,OHX03CTC,R,Missing Due To Dental Disease But Replaced By A Fixed Restoration,,
106,OHX03CTC,S,Sound Permanent Tooth,,
107,OHX03CTC,T,Permanent Root Tip Is Present But A Restorative Replacement Is Present,,
108,OHX03CTC,U,Unerupted,,
109,OHX03CTC,X,Missing Due To Other Causes But Replaced By A Fixed Restoration,,
110,OHX03CTC,Y,"Tooth Present, Condition Cannot Be Assessed",,
111,OHX03CTC,Z,Permanent Tooth With A Dental Carious Surface Condition,,
112,OHX03CTC,< Blank >,Missing,,
113,OHX03CTC,A,Primary Tooth With A Restored Surface Condition,,
114,OHX03CTC,D,Sound Primary Tooth,,
115,OHX03CTC,E,Missing Due To Dental Disease,,
116,OHX03CTC,F,Permanent Tooth With A Restored Surface Condition,,
117,OHX03RSC,Coronal Caries: 2Nd Restoration Code #3,Value Was Recorded,,
118,OHX03RSC,0,Lingual Amalgam Restoration,,
119,OHX03RSC,1,Occlusal Amalgam Restoration,,
120,OHX03RSC,2,Facial Amalgam Restoration,,
121,OHX03RSC,3,Mesial Amalgam Restoration,,
122,OHX03RSC,4,Distal Amalgam Restoration,,
123,OHX03RSC,5,Lingual Other Restoration,,
124,OHX03RSC,6,Occlusal Other Restoration,,
125,OHX03RSC,7,Facial Other Restoration,,
126,OHX03RSC,8,Mesial Other Restoration,,
127,OHX03RSC,9,Distal Other Restoration,,
128,OHX03RSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
129,OHX03RSC,< Blank >,Missing,,
130,OHX03RTC,A,Primary Tooth With Secondary Dental Restoration Present,,
131,OHX03RTC,F,Permanent Tooth With Secondary Dental Restoration Present,,
132,OHX03RTC,< Blank >,Missing,,
133,OHX03SE,0,Sealant Not Present,,
134,OHX03SE,1,Occlusal Sealant On Permanent Tooth,,
135,OHX03SE,2,Facial Sealant On Permanent Tooth,,
136,OHX03SE,3,Lingual Sealant On Permanent Tooth,,
137,OHX03SE,4,Occlusal Sealant On Primary Tooth,,
138,OHX03SE,9,Cannot Be Assessed,,
139,OHX03SE,12,Occlusal-Facial Sealant On Permanent Tooth,,
140,OHX03SE,13,Occlusal-Lingual Sealant On Permanent Tooth,,
141,OHX03SE,< Blank >,Missing,,
142,OHX03TC,1,Primary Tooth (Deciduous) Present,,
143,OHX03TC,2,Permanent Tooth Present,,
144,OHX03TC,3,Dental Implant,,
145,OHX03TC,4,Tooth Not Present,,
146,OHX03TC,5,Permanent Dental Root Fragment Present,,
147,OHX03TC,9,Could Not Assess,,
148,OHX03TC,.,Missing,,
149,OHX04CSC,Coronal Caries: Surface Condition #4,Value Was Recorded,,
150,OHX04CSC,0,Lingual Amalgam Restoration,,
151,OHX04CSC,1,Occlusal Amalgam Restoration,,
152,OHX04CSC,2,Facial Amalgam Restoration,,
153,OHX04CSC,3,Mesial Amalgam Restoration,,
154,OHX04CSC,4,Distal Amalgam Restoration,,
155,OHX04CSC,5,Lingual Other Restoration,,
156,OHX04CSC,6,Occlusal Other Restoration,,
157,OHX04CSC,7,Facial Other Restoration,,
158,OHX04CSC,8,Mesial Other Restoration,,
159,OHX04CSC,9,Distal Other Restoration,,
160,OHX04CSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
161,OHX04CSC,-4,Lingual Caries,,
162,OHX04CSC,-5,Occlusal Caries,,
163,OHX04CSC,-6,Facial Caries,,
164,OHX04CSC,-7,Mesial Caries,,
165,OHX04CSC,-8,Distal Caries,,
166,OHX04CSC,< Blank >,Missing,,
167,OHX04CTC,A,Primary Tooth With A Restored Surface Condition,,
168,OHX04CTC,D,Sound Primary Tooth,,
169,OHX04CTC,E,Missing Due To Dental Disease,,
170,OHX04CTC,F,Permanent Tooth With A Restored Surface Condition,,
171,OHX04CTC,J,Permanent Root Tip Is Present But No Restorative Replacement Is Present,,
172,OHX04CTC,K,Primary Tooth With A Dental Carious Surface Condition,,
173,OHX04CTC,M,Missing Due To Other Causes,,
174,OHX04CTC,P,Missing Due To Dental Disease But Replaced By A Removable Restoration,,
175,OHX04CTC,Q,Missing Due To Other Causes But Replaced By A Removable Restoration,,
176,OHX04CTC,R,Missing Due To Dental Disease But Replaced By A Fixed Restoration,,
177,OHX04CTC,S,Sound Permanent Tooth,,
178,OHX04CTC,T,Permanent Root Tip Is Present But A Restorative Replacement Is Present,,
179,OHX04CTC,U,Unerupted,,
180,OHX04CTC,X,Missing Due To Other Causes But Replaced By A Fixed Restoration,,
181,OHX04CTC,Y,"Tooth Present, Condition Cannot Be Assessed",,
182,OHX04CTC,Z,Permanent Tooth With A Dental Carious Surface Condition,,
183,OHX04CTC,< Blank >,Missing,,
184,OHX04RSC,Coronal Caries: 2Nd Restoration Code #4,Value Was Recorded,,
185,OHX04RSC,0,Lingual Amalgam Restoration,,
186,OHX04RSC,1,Occlusal Amalgam Restoration,,
187,OHX04RSC,2,Facial Amalgam Restoration,,
188,OHX04RSC,3,Mesial Amalgam Restoration,,
189,OHX04RSC,4,Distal Amalgam Restoration,,
190,OHX04RSC,5,Lingual Other Restoration,,
191,OHX04RSC,6,Occlusal Other Restoration,,
192,OHX04RSC,7,Facial Other Restoration,,
193,OHX04RSC,8,Mesial Other Restoration,,
194,OHX04RSC,9,Distal Other Restoration,,
195,OHX04RSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
196,OHX04RSC,< Blank >,Missing,,
197,OHX04RTC,A,Primary Tooth With Secondary Dental Restoration Present,,
198,OHX04RTC,F,Permanent Tooth With Secondary Dental Restoration Present,,
199,OHX04RTC,< Blank >,Missing,,
200,OHX04SE,0,Sealant Not Present,,
201,OHX04SE,1,Occlusal Sealant On Permanent Tooth,,
202,OHX04SE,2,Facial Sealant On Permanent Tooth,,
203,OHX04SE,3,Lingual Sealant On Permanent Tooth,,
204,OHX04SE,4,Occlusal Sealant On Primary Tooth,,
205,OHX04SE,9,Cannot Be Assessed,,
206,OHX04SE,12,Occlusal-Facial Sealant On Permanent Tooth,,
207,OHX04SE,13,Occlusal-Lingual Sealant On Permanent Tooth,,
208,OHX04SE,< Blank >,Missing,,
209,OHX04TC,1,Primary Tooth (Deciduous) Present,,
210,OHX04TC,2,Permanent Tooth Present,,
211,OHX04TC,3,Dental Implant,,
212,OHX04TC,4,Tooth Not Present,,
213,OHX04TC,5,Permanent Dental Root Fragment Present,,
214,OHX04TC,9,Could Not Assess,,
215,OHX04TC,.,Missing,,
216,OHX05CSC,Coronal Caries: Surface Condition #5,Value Was Recorded,,
217,OHX05CSC,0,Lingual Amalgam Restoration,,
218,OHX05CSC,1,Occlusal Amalgam Restoration,,
219,OHX05CSC,2,Facial Amalgam Restoration,,
220,OHX05CSC,3,Mesial Amalgam Restoration,,
221,OHX05CSC,4,Distal Amalgam Restoration,,
222,OHX05CSC,5,Lingual Other Restoration,,
223,OHX05CSC,6,Occlusal Other Restoration,,
224,OHX05CSC,7,Facial Other Restoration,,
225,OHX05CSC,8,Mesial Other Restoration,,
226,OHX05CSC,9,Distal Other Restoration,,
227,OHX05CSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
228,OHX05CSC,-4,Lingual Caries,,
229,OHX05CSC,-5,Occlusal Caries,,
230,OHX05CSC,-6,Facial Caries,,
231,OHX05CSC,-7,Mesial Caries,,
232,OHX05CSC,-8,Distal Caries,,
233,OHX05CSC,< Blank >,Missing,,
234,OHX05CTC,A,Primary Tooth With A Restored Surface Condition,,
235,OHX05CTC,D,Sound Primary Tooth,,
236,OHX05CTC,E,Missing Due To Dental Disease,,
237,OHX05CTC,F,Permanent Tooth With A Restored Surface Condition,,
238,OHX05CTC,J,Permanent Root Tip Is Present But No Restorative Replacement Is Present,,
239,OHX05CTC,K,Primary Tooth With A Dental Carious Surface Condition,,
240,OHX05CTC,M,Missing Due To Other Causes,,
241,OHX05CTC,P,Missing Due To Dental Disease But Replaced By A Removable Restoration,,
242,OHX05CTC,Q,Missing Due To Other Causes But Replaced By A Removable Restoration,,
243,OHX05CTC,R,Missing Due To Dental Disease But Replaced By A Fixed Restoration,,
244,OHX05CTC,S,Sound Permanent Tooth,,
245,OHX05CTC,T,Permanent Root Tip Is Present But A Restorative Replacement Is Present,,
246,OHX05CTC,U,Unerupted,,
247,OHX05CTC,X,Missing Due To Other Causes But Replaced By A Fixed Restoration,,
248,OHX05CTC,Y,"Tooth Present, Condition Cannot Be Assessed",,
249,OHX05CTC,Z,Permanent Tooth With A Dental Carious Surface Condition,,
250,OHX05CTC,< Blank >,Missing,,
251,OHX05RSC,Coronal Caries: 2Nd Restoration Code #5,Value Was Recorded,,
252,OHX05RSC,0,Lingual Amalgam Restoration,,
253,OHX05RSC,1,Occlusal Amalgam Restoration,,
254,OHX05RSC,2,Facial Amalgam Restoration,,
255,OHX05RSC,3,Mesial Amalgam Restoration,,
256,OHX05RSC,4,Distal Amalgam Restoration,,
257,OHX05RSC,5,Lingual Other Restoration,,
258,OHX05RSC,6,Occlusal Other Restoration,,
259,OHX05RSC,7,Facial Other Restoration,,
260,OHX05RSC,8,Mesial Other Restoration,,
261,OHX05RSC,9,Distal Other Restoration,,
262,OHX05RSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
263,OHX05RSC,< Blank >,Missing,,
264,OHX05RTC,A,Primary Tooth With Secondary Dental Restoration Present,,
265,OHX05RTC,F,Permanent Tooth With Secondary Dental Restoration Present,,
266,OHX05RTC,< Blank >,Missing,,
267,OHX05SE,0,Sealant Not Present,,
268,OHX05SE,1,Occlusal Sealant On Permanent Tooth,,
269,OHX05SE,2,Facial Sealant On Permanent Tooth,,
270,OHX05SE,3,Lingual Sealant On Permanent Tooth,,
271,OHX05SE,4,Occlusal Sealant On Primary Tooth,,
272,OHX05SE,9,Cannot Be Assessed,,
273,OHX05SE,12,Occlusal-Facial Sealant On Permanent Tooth,,
274,OHX05SE,13,Occlusal-Lingual Sealant On Permanent Tooth,,
275,OHX05SE,< Blank >,Missing,,
276,OHX05TC,1,Primary Tooth (Deciduous) Present,,
277,OHX05TC,2,Permanent Tooth Present,,
278,OHX05TC,3,Dental Implant,,
279,OHX05TC,4,Tooth Not Present,,
280,OHX05TC,5,Permanent Dental Root Fragment Present,,
281,OHX05TC,9,Could Not Assess,,
282,OHX05TC,.,Missing,,
283,OHX06CSC,Coronal Caries: Surface Condition #6,Value Was Recorded,,
284,OHX06CSC,0,Lingual Amalgam Restoration,,
285,OHX06CSC,1,Occlusal Amalgam Restoration,,
286,OHX06CSC,2,Facial Amalgam Restoration,,
287,OHX06CSC,3,Mesial Amalgam Restoration,,
288,OHX06CSC,4,Distal Amalgam Restoration,,
289,OHX06CSC,5,Lingual Other Restoration,,
290,OHX06CSC,6,Occlusal Other Restoration,,
291,OHX06CSC,7,Facial Other Restoration,,
292,OHX06CSC,8,Mesial Other Restoration,,
293,OHX06CSC,9,Distal Other Restoration,,
294,OHX06CSC,-1,Crown (Non-Specific Full-Coverage Restoration),,
295,OHX06CSC,-4,Lingual Caries,,
296,OHX06CSC,-5,Occlusal Caries,,
297,OHX06CSC,-6,Facial Caries,,
298,OHX06CSC,-7,Mesial Caries,,
299,OHX06CSC,-8,Distal Caries,,
300,OHX06CSC,< Blank >,Missing,,
301,OHX06CTC,A,Primary Tooth With A Restored Surface Condition,,
302,OHX06CTC,D,Sound Primary Tooth,,
303,OHX06CTC,E,Missing Due To Dental Disease,,
304,OHX06CTC,F,Permanent Tooth With A Restored Surface Condition,,
305,OHX06CTC,J,Permanent Root Tip Is Present But No Restorative Replacement Is Present,,
306,OHX06CTC,K,Primary Tooth With A Dental Carious Surface Condition,,
307,OHX06CTC,M,Missing Due To Other Causes,,
308,OHX06CTC,P,Missing Due To Dental Disease But Replaced By A Removable Restoration,,
