,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTSBA2YR,,,,,,,,,,,,
2,WTSBA4YR,,,,,,,,,,,,
3,WTSBA01,,,,,,,,,,,,
4,WTSBA02,,,,,,,,,,,,
5,WTSBA03,,,,,,,,,,,,
6,WTSBA04,,,,,,,,,,,,
7,WTSBA05,,,,,,,,,,,,
8,WTSBA06,,,,,,,,,,,,
9,WTSBA07,,,,,,,,,,,,
10,WTSBA08,,,,,,,,,,,,
11,WTSBA09,,,,,,,,,,,,
12,WTSBA10,,,,,,,,,,,,
13,WTSBA11,,,,,,,,,,,,
14,WTSBA12,,,,,,,,,,,,
15,WTSBA13,,,,,,,,,,,,
16,WTSBA14,,,,,,,,,,,,
17,WTSBA15,,,,,,,,,,,,
18,WTSBA16,,,,,,,,,,,,
19,WTSBA17,,,,,,,,,,,,
20,WTSBA18,,,,,,,,,,,,
21,WTSBA19,,,,,,,,,,,,
22,WTSBA20,,,,,,,,,,,,
23,WTSBA21,,,,,,,,,,,,
24,WTSBA22,,,,,,,,,,,,
25,WTSBA23,,,,,,,,,,,,
26,WTSBA24,,,,,,,,,,,,
27,WTSBA25,,,,,,,,,,,,
28,WTSBA26,,,,,,,,,,,,
29,WTSBA27,,,,,,,,,,,,
30,WTSBA28,,,,,,,,,,,,
31,WTSBA29,,,,,,,,,,,,
32,WTSBA30,,,,,,,,,,,,
33,WTSBA31,,,,,,,,,,,,
34,WTSBA32,,,,,,,,,,,,
35,WTSBA33,,,,,,,,,,,,
36,WTSBA34,,,,,,,,,,,,
37,WTSBA35,,,,,,,,,,,,
38,WTSBA36,,,,,,,,,,,,
39,WTSBA37,,,,,,,,,,,,
40,WTSBA38,,,,,,,,,,,,
41,WTSBA39,,,,,,,,,,,,
42,WTSBA40,,,,,,,,,,,,
43,WTSBA41,,,,,,,,,,,,
44,WTSBA42,,,,,,,,,,,,
45,WTSBA43,,,,,,,,,,,,
46,WTSBA44,,,,,,,,,,,,
47,WTSBA45,,,,,,,,,,,,
48,WTSBA46,,,,,,,,,,,,
49,WTSBA47,,,,,,,,,,,,
50,WTSBA48,,,,,,,,,,,,
51,WTSBA49,,,,,,,,,,,,
52,WTSBA50,,,,,,,,,,,,
53,WTSBA51,,,,,,,,,,,,
54,WTSBA52,,,,,,,,,,,,
55,BAAEXSTS,,,,,,,,,,,,
56,BAAEXCMT,,,,,,,,,,,,
57,BAQ110,,,,,,,,,,,,
58,BAQ120,,,,,,,,,,,,
59,BAQ130,,,,,,,,,,,,
60,BAXPFC11,,,,,,,,,,,,
61,BAXFTC11,,,,,,,,,,,,
62,BAXPFC12,,,,,,,,,,,,
63,BAXFTC12,,,,,,,,,,,,
64,BAXPFC21,,,,,,,,,,,,
65,BAXFTC21,,,,,,,,,,,,
66,BAXPFC22,,,,,,,,,,,,
67,BAXFTC22,,,,,,,,,,,,
68,BAXPFC31,,,,,,,,,,,,
69,BAXFTC31,,,,,,,,,,,,
70,BAXPFC32,,,,,,,,,,,,
71,BAXFTC32,,,,,,,,,,,,
72,BAXPFC41,,,,,,,,,,,,
73,BAXFTC41,,,,,,,,,,,,
74,BAXPFC42,,,,,,,,,,,,
75,BAXFTC42,,,,,,,,,,,,
