,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
1,BMDSTATS,Body Measures Component status Code,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
2,BMDRECUF,The difference between BMXRECUM and BMXHT for children 24-47 months is > 2.5cm.,Both males and females 0 MONTHS - 47 MONTHS,,,,,,,,,,,,,
3,BMDSUBF,Unusual value noted during data review of BMXSUB,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
4,BMDTHICF,Unusual value noted during data review of BMXTHICM,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
5,BMDLEGF,Unusual value noted during data review of BMXLEG,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
6,BMDARMLF,Unusual value noted during data review of BMXARML,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
7,BMDCALFF,Unusual value noted during data review of BMXCALF,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
8,BMXWT,Weight (kg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
9,BMIWT,Weight Comment,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
10,BMXRECUM,Recumbent Length (cm),Both males and females 0 MONTHS - 47 MONTHS,,,,,,,,,,,,,
11,BMIRECUM,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,,,,,,,,,,,,,
12,BMXHEAD,Head Circumference (cm),Both males and females 0 MONTHS - 6 MONTHS,,,,,,,,,,,,,
13,BMIHEAD,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,,,,,,,,,,,,,
14,BMXHT,Standing Height (cm),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
15,BMIHT,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
16,BMXBMI,Body Mass Index (kg/m**2),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
17,BMXLEG,Upper Leg Length (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
18,BMILEG,Upper Leg Length Comment,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
19,BMXCALF,Maximal Calf Circumference (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
20,BMICALF,Maximal Calf Comment,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
21,BMXARML,Upper Arm Length (cm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
22,BMIARML,Upper Arm Length Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
23,BMXARMC,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
24,BMIARMC,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
25,BMXWAIST,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
26,BMIWAIST,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
27,BMXTHICR,Thigh Circumference (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
28,BMITHICR,Thigh Circumference Comment,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
29,BMXTRI,Triceps Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
30,BMITRI,Triceps Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
31,BMXSUB,Subscapular Skinfold (mm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
32,BMISUB,Subscapular Skinfold Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
