,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
1,CVDEXSTS,CV fitness exam status,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
2,CVDEXCMT,Comment code for CV fitness exam status,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
3,CVDEXCL1,Excluded from exam due to selected physical functioning limitations,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
4,CVDEXCL2,Excluded from exam due to selected cardiovascular conditions/symptoms,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
5,CVDEXCL3,Excluded from exam due to selected lung/breathing conditions/symptoms,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
6,CVDEXCL4,Excluded from exam due to selected asthma symptoms,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
7,CVDEXCL5,Excluded from exam due to taking selected exclusionary medications,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
8,CVDEXCL6,Excluded from exam due to other specific reasons,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
9,CVQ220a,Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during first 2 minutes of stage 2,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
10,CVQ220b,Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during stage 1,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
11,CVQ220c,Reason for Priority 2 Stop: Exercise blood pressure exceeds 260 mmHg systolic and/or 115 mmHg diastolic,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
12,CVQ220e,Reason for Priority 2 Stop: Significant drop (> 20 mm Hg) in systolic blood pressure during exercise,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
13,CVQ220g,Reason for Priority 2 Stop: Sudden noticeable variability in heart rate (sudden change of more than 30 beats/minute during a stage),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
14,CVQ220h,Reason for Priority 2 Stop: Participant requests to stop test or reports severe fatigue,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
15,CVQ220i,Reason for Priority 2 Stop: Equipment failure,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
16,CVQ220j,Reason for Priority 2 Stop: Participant is unable to stop gripping hand rails,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
17,CVQ220k,Reason for Priority 2 Stop: Participant reports a rating of perceived exertion more than 17,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
18,CVQ220l,Reason for Priority 2 Stop: Technician discretion (technician notices signs of severe exertion),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
19,CVQ220m,Reason for Priority 2 Stop: Other specified reasons,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
20,CVDEXLEN,Length of the CV fitness exam (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
21,CVDEXMER,Examiner ID code,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
22,CVDPMHR,Predicted maximal heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
23,CVXPARC,Physical activity readiness (PAR) code,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
24,CVDVOMAX,Predicted maximal oxygen uptake (ml/kg/min),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
25,CVAPROT,Assigned exercise protocol,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
26,CVDPROT,Exercise protocol used in stage 1 and stage 2 after adjustment for warm-up heart rate,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
27,CVATEMP,Room temperature (Degrees Fahrenheit),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
28,CVAARM,Arm selected for blood pressure monitoring,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
29,CVACUFF,Cuff size used for blood pressure monitoring,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
30,CVAVEST,Mesh vest used,Males only 12 YEARS - 49 YEARS,,,,,,,,,,,,,
31,CVAWS1,Warm-up speed (miles per hour),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
32,CVAWG1,Warm-up grade (% incline),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
33,CVDWTIM,Amount of time spent in warm-up (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
34,CVXWRPE,Warm-up rating of perceived exertion (RPE),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
35,CVDWHR,Warm-up heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
36,CVDWSY,Warm-up systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
37,CVDWDI,Warm-up diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
38,CVDS1S,Stage 1 speed (miles per hour),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
39,CVDS1G,Stage 1 grade (% incline),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
40,CVDS1TIM,Amount of time spent in Stage 1 (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
41,CVXS1RPE,Stage 1 rating of perceived exertion (RPE),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
42,CVDS1HR,Stage 1 heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
43,CVDS1SY,Stage 1 systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
44,CVDS1DI,Stage 1 diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
45,CVDS2S,Stage 2 speed (miles per hour),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
46,CVDS2G,Stage 2 grade (% incline),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
47,CVDS2TIM,Amount of time spent in Stage 2 (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
48,CVXS2RPE,Stage 2 rating of perceived exertion (RPE),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
49,CVDS2HR,Stage 2 heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
50,CVDS2SY,Stage 2 systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
51,CVDS2DI,Stage 2 diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
52,CVDR1TIM,Amount of time spent in Recovery 1 (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
53,CVDR1HR,Recovery 1 heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
54,CVDR1SY,Recovery 1 systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
55,CVDR1DI,Recovery 1 diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
56,CVDR2TIM,Amount of time spent in Recovery 2 (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
57,CVDR2HR,Recovery 2 heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
58,CVDR2SY,Recovery 2 systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
59,CVDR2DI,Recovery 2 diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
60,CVDR3TIM,Amount of time spent in Recovery 3 (minutes),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
61,CVDR3HR,Recovery 3 heart rate (per minute),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
62,CVDR3SY,Recovery 3 systolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
63,CVDR3DI,Recovery 3 diastolic blood pressure (mm Hg),Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
64,CVDESVO2,Estimated maximal oxygen uptake (ml/kg/min).,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
65,CVDFITLV,Cardiovascular fitness level,Both males and females 12 YEARS - 49 YEARS,,,,,,,,,,,,,
