,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,LEDSCCT1,,,,,,,,,,,,
2,LEALAMP,,,,,,,,,,,,
3,LEALBUN,,,,,,,,,,,,
4,LEALLES,,,,,,,,,,,,
5,LEALLESS,,,,,,,,,,,,
6,LEARAMP,,,,,,,,,,,,
7,LEARBUN,,,,,,,,,,,,
8,LEARLES,,,,,,,,,,,,
9,LEARLESS,,,,,,,,,,,,
10,LEALPN,,,,,,,,,,,,
11,LEARPN,,,,,,,,,,,,
12,LEXLMH11,,,,,,,,,,,,
13,LEALM1C1,,,,,,,,,,,,
14,LEXLHAL1,,,,,,,,,,,,
15,LEALHAC1,,,,,,,,,,,,
16,LEXLMH51,,,,,,,,,,,,
17,LEALM5C1,,,,,,,,,,,,
18,LEXLMH12,,,,,,,,,,,,
19,LEALM1C2,,,,,,,,,,,,
20,LEXLHAL2,,,,,,,,,,,,
21,LEALHAC2,,,,,,,,,,,,
22,LEXLMH52,,,,,,,,,,,,
23,LEALM5C2,,,,,,,,,,,,
24,LEXLMH13,,,,,,,,,,,,
25,LEALM1C3,,,,,,,,,,,,
26,LEXLHAL3,,,,,,,,,,,,
27,LEALHAC3,,,,,,,,,,,,
28,LEXLMH53,,,,,,,,,,,,
29,LEALM5C3,,,,,,,,,,,,
30,LEXRMH11,,,,,,,,,,,,
31,LEARM1C1,,,,,,,,,,,,
32,LEXRHAL1,,,,,,,,,,,,
33,LEARHAC1,,,,,,,,,,,,
34,LEXRMH51,,,,,,,,,,,,
35,LEARM5C1,,,,,,,,,,,,
36,LEXRMH12,,,,,,,,,,,,
37,LEARM1C2,,,,,,,,,,,,
38,LEXRHAL2,,,,,,,,,,,,
39,LEARHAC2,,,,,,,,,,,,
40,LEXRMH52,,,,,,,,,,,,
41,LEARM5C2,,,,,,,,,,,,
42,LEXRMH13,,,,,,,,,,,,
43,LEXRHAL3,,,,,,,,,,,,
44,LEXRMH53,,,,,,,,,,,,
45,LEARM5C3,,,,,,,,,,,,
