,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,BMDSTATS,,,,,,,,,,,,
2,BMXWT,,,,,,,,,,,,
3,BMIWT,,,,,,,,,,,,
4,BMXRECUM,,,,,,,,,,,,
5,BMIRECUM,,,,,,,,,,,,
6,BMXHEAD,,,,,,,,,,,,
7,BMIHEAD,,,,,,,,,,,,
8,BMXHT,,,,,,,,,,,,
9,BMIHT,,,,,,,,,,,,
10,BMXBMI,,,,,,,,,,,,
11,BMXLEG,,,,,,,,,,,,
12,BMILEG,,,,,,,,,,,,
13,BMXCALF,,,,,,,,,,,,
14,BMICALF,,,,,,,,,,,,
15,BMXARML,,,,,,,,,,,,
16,BMIARML,,,,,,,,,,,,
17,BMXARMC,,,,,,,,,,,,
18,BMIARMC,,,,,,,,,,,,
19,BMXWAIST,,,,,,,,,,,,
20,BMIWAIST,,,,,,,,,,,,
21,BMXTHICR,,,,,,,,,,,,
22,BMITHICR,,,,,,,,,,,,
23,BMXTRI,,,,,,,,,,,,
24,BMITRI,,,,,,,,,,,,
25,BMXSUB,,,,,,,,,,,,
26,BMISUB,,,,,,,,,,,,
