,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,PEASCST1,,,,,,,,,,,,
2,PEASCTM1,,,,,,,,,,,,
3,PEASCCT1,,,,,,,,,,,,
4,BPXCHR,,,,,,,,,,,,
5,BPQ150A,,,,,,,,,,,,
6,BPQ150B,,,,,,,,,,,,
7,BPQ150C,,,,,,,,,,,,
8,BPQ150D,,,,,,,,,,,,
9,BPAARM,,,,,,,,,,,,
10,BPACSZ,,,,,,,,,,,,
11,BPXPLS,,,,,,,,,,,,
12,BPXDB,,,,,,,,,,,,
13,BPXPULS,,,,,,,,,,,,
14,BPXPTY,,,,,,,,,,,,
15,BPXML1,,,,,,,,,,,,
16,BPXSY1,,,,,,,,,,,,
17,BPXDI1,,,,,,,,,,,,
18,BPAEN1,,,,,,,,,,,,
19,BPXSY2,,,,,,,,,,,,
20,BPXDI2,,,,,,,,,,,,
21,BPAEN2,,,,,,,,,,,,
22,BPXSY3,,,,,,,,,,,,
23,BPXDI3,,,,,,,,,,,,
24,BPAEN3,,,,,,,,,,,,
25,BPXSY4,,,,,,,,,,,,
26,BPXDI4,,,,,,,,,,,,
27,BPAEN4,,,,,,,,,,,,
