,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
1,OPASCST1,FDT STATUS,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
2,OPASCCT1,Reason for a Partial or Not Done Exam,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
3,VIQ110,Does SP appear to have a severe eye infection in one or both eyes?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
4,VIQ130,Is SP wearing an eye patch?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
5,VIQ141,If so which eye?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
6,OPDODFDT,Final Right Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
7,OPDOSFDT,Final Left Eye Status - 2-2-1 Algorithm defined visual field loss incorporating test reliability indices.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
8,OPX1ODBS,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
9,OPX1ODFP,False Positive Test - The ratio of the number of times participant responded to a pause during testing (i.e. no target presented) versus total number of pauses presented - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
10,OPX1ODTN,Participant not fixating on target - Technician noted - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
11,OPX1OD02,CT screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
12,OPX1OD03,T6 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
13,OPX1OD04,T2 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
14,OPX1OD05,T5 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
15,OPX1OD06,T1 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
16,OPX1OD07,N2 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
17,OPX1OD08,N6 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
18,OPX1OD09,N1 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
19,OPX1OD10,N5 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
20,OPX1OD11,N3 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
21,OPX1OD12,N7 screening result code - Right Eye - Test 1,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
