,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
1,MGDEXSTS,Grip test status,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
2,MGD050,Have you ever had surgery on your hands or wrists for arthritis or carpal tunnel syndrome?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
3,MGD060,Which hand or wrist was the surgery on?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
4,MGQ070,Have you had any pain aching or stiffness in your right hand in the past 7 days?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
5,MGQ080,Is the pain aching or stiffness in your right hand caused by arthritis tendonitis or carpal tunnel syndrome?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
6,MGQ090,Has the pain aching or stiffness in your right hand gotten worse in the past 7 days?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
7,MGQ100,Have you had any pain aching or stiffness in your left hand in the past 7 days?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
8,MGQ110,Is the pain aching or stiffness in your left hand caused by arthritis tendonitis or carpal tunnel syndrome?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
9,MGQ120,Has the pain aching or stiffness in your left hand gotten worse in the past 7 days?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
10,MGD130,Are you right-handed left-handed or do you use both hands equally?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
11,MGQ90DG,Was the participant able to achieve a 90 degree angle with the index finger on the eligible hand(s)?,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
12,MGDSEAT,Testing position,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
13,MGAPHAND,The hand assigned for the practice trial,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
14,MGATHAND,Begin the test with this hand.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
15,MGXH1T1,Grip strength (kg) hand 1 test 1,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
16,MGXH1T1E,Whether the participant exerted a maximal or questionable effort during the test 1 on hand 1 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
17,MGXH2T1,Grip strength (kg) hand 2 test 1,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
18,MGXH2T1E,Whether the participant exerted a maximal or questionable effort during the test 1 on hand 2 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
19,MGXH1T2,Grip strength (kg) hand 1 test 2,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
20,MGXH1T2E,Whether the participant exerted a maximal or questionable effort during the test 2 on hand 1 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
21,MGXH2T2,Grip strength (kg) hand 2 test 2,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
22,MGXH2T2E,Whether the participant exerted a maximal or questionable effort during the test 2 on hand 2 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
23,MGXH1T3,Grip strength (kg) hand 1 test 3,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
24,MGXH1T3E,Whether the participant exerted a maximal or questionable effort during the test 3 on hand 1 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
25,MGXH2T3,Grip strength (kg) hand 2 test 3,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
26,MGXH2T3E,Whether the participant exerted a maximal or questionable effort during the test 3 on hand 2 as assessed by the technician.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
27,MGDCGSZ,Combined grip strength (kg): the sum of the largest reading from each hand.,Both males and females 6 YEARS - 150 YEARS,,,,,,,,,,,,,
