,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
1,BMDSTATS,Body Measures Component status Code,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
2,BMXWT,Weight (kg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
3,BMIWT,Weight Comment,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
4,BMXRECUM,Recumbent Length (cm),Both males and females 0 YEARS - 47 MONTHS,,,,,,,,,,,,,
5,BMIRECUM,Recumbent Length Comment,Both males and females 0 MONTHS - 47 MONTHS,,,,,,,,,,,,,
6,BMXHEAD,Head Circumference (cm),Both males and females 0 YEARS - 6 MONTHS,,,,,,,,,,,,,
7,BMIHEAD,Head Circumference Comment,Both males and females 0 MONTHS - 6 MONTHS,,,,,,,,,,,,,
8,BMXHT,Standing Height (cm),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
9,BMIHT,Standing Height Comment,Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
10,BMXBMI,Body Mass Index (kg/m**2),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
11,BMDBMIC,BMI Category - Children/Youth,Both males and females 2 YEARS - 19 YEARS,,,,,,,,,,,,,
12,BMXLEG,Upper Leg Length (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
13,BMILEG,Upper Leg Length Comment,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
14,BMXARML,Upper Arm Length (cm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
15,BMIARML,Upper Arm Length Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
16,BMXARMC,Arm Circumference (cm),Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
17,BMIARMC,Arm Circumference Comment,Both males and females 2 MONTHS - 150 YEARS,,,,,,,,,,,,,
18,BMXWAIST,Waist Circumference (cm),Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
19,BMIWAIST,Waist Circumference Comment,Both males and females 2 YEARS - 150 YEARS,,,,,,,,,,,,,
20,BMXSAD1,Sagittal Abdominal Diameter 1st (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
21,BMXSAD2,Sagittal Abdominal Diameter 2nd (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
22,BMXSAD3,Sagittal Abdominal Diameter 3rd (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
23,BMXSAD4,Sagittal Abdominal Diameter 4th (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
24,BMDAVSAD,Average Sagittal Abdominal Diameter (cm),Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
25,BMDSADCM,Sagittal Abdominal Diameter Comment,Both males and females 8 YEARS - 150 YEARS,,,,,,,,,,,,,
