,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,OHAPOS,Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
1,OHAREC,Overall recommendation for care,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
2,OHARNF,No significant findings,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
3,OHAROCCI,Clinical impression of soft tissue condition,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
4,OHAROCDE,Denture/Partial Denture/Plates,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
5,OHAROCDT,Decayed teeth,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
6,OHAROCGP,Gum disease/problem,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
7,OHAROCOH,Oral hygiene,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
8,OHAROTH,Some other finding (specify w/referral letter),Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
9,OHDEXSTS,Overall Oral Health Exam Status,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
10,OHDRCSTS,Recommendation Care Status Code,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
11,SEQN,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
