,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,LUAXSTAT,Elastography exam status.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,LUARXNC,Reason for partial exam.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,LUARXND,Reason exam not done.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,LUARXIN,Reason ineligible.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,LUAPNME,Exam wand type.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,LUANMVGP,Total number of complete measures retained (using final wand).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,LUANMTGP,Total number of measures attempted (using final wand).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,LUXSMED,Median liver stiffness (E). This indicator is presented with one digit to the right of the decimal ratio (e.g. XX.X) and the units for this measure are kilopascals (kPa).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,LUXSIQR,Stiffness (E) interquartile range (IQRe) of final stiffness measures. This indicator is presented with one digit to the right of the decimal (e.g. XX.X).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,LUXSIQRM,Ratio of the stiffness IQRe / median E stiffness value. This indicator is presented as a percent with one digit to the right of the decimal (e.g. XX.X%).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,LUXCAPM,Median controlled attenuated parameter (CAP). This indicator is presented as a whole number (e.g. XXX) and the units for this measure are decibels per meter (dB/m).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,LUXCPIQR,Controlled attenuated parameter (CAP) interquartile range (IQRc) of final CAP measures. This indicator is presented as a whole number (e.g. XX).,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
