"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BFRPOL_E","SAMPLEID","SAMPLEID","Pool identification number","Pool identification number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"BFRPOL_E","RIAGENDR","RIAGENDR","Gender","Gender","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Male"", ""Female"", ""Missing""]; Count=[""132"", ""132"", ""0""]; Cumulative=[""132"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","ETHNICTY","ETHNICTY","Ethnicity - Recode","Ethnicity - Recode","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Non-Hispanic White"", ""Non-Hispanic Black"", ""Mexican American"", ""Other"", ""Missing""]; Count=[""118"", ""54"", ""50"", ""42"", ""0""]; Cumulative=[""118"", ""172"", ""222"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BFRPOL_E","RIDAGGRP","RIDAGGRP","Age group","Age group","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""12-19 years"", ""20-39 years"", ""40-59 years"", ""60+ years"", ""Missing""]; Count=[""42"", ""72"", ""71"", ""79"", ""0""]; Cumulative=[""42"", ""114"", ""185"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BFRPOL_E","RIANSMP","RIANSMP","Number of samples in a pool","Number of samples in a pool","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3 to 8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","WTSMSMPA","WTSMSMPA","Adjust sum sampling weights in same pool","Adjust sum sampling weights in same pool","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""92401.04944 to 3363512.5108"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBB1","LBCBB1","224455-hexabromobiphenyl (pg/g)","224455-hexabromobiphenyl (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 804.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBB1LA","LBCBB1LA","224455-hxbrmbiphl lipd adj(ng/g)","224455-hxbrmbiphl lipid adj (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 133"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBB1LC","LBDBB1LC","224455-hexabromobiphenyl comnt","224455-hexabromobiphenyl comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""245"", ""19"", ""0""]; Cumulative=[""245"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR1","LBCBR1","224-tribromodiphenyl ether (pg/g)","224-tribromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 9.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR1LA","LBCBR1LA","224-tribromodiphl ether lpd adj(ng/g)","224-tribromodiphl ether lipid adj (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 1.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR1LC","LBDBR1LC","224-tribromodiphenyl ether comment","224-tribromodiphenyl ether comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""26"", ""238"", ""0""]; Cumulative=[""26"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR11","LBCBR11","PBDE 209 (pg/g)","PBDE 209 (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""17.3 to 133.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR11L","LBCBR11L","PBDE 209 lipid adj (ng/g)","PBDE 209 lipid adj (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.9 to 21.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR11C","LBDBR11C","PBDE 209 comment","PBDE 209 comment","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""28"", ""236"", ""0""]; Cumulative=[""28"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR2","LBCBR2","244-tribromodiphenyl ether (pg/g)","244-tribromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.3 to 54.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR2LA","LBCBR2LA","244-tribrmdphenyl ether lpd adj(ng/g)","244-tribrmdphenyl ether lpd adj (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 7.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR2LC","LBDBR2LC","244-tribromodiphenyl ether comment","244-tribromodiphenyl ether comment","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""264"", ""0"", ""0""]; Cumulative=[""264"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR3","LBCBR3","2244-tetrabromodiphenyl ether(pg/g)","2244-tetrabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""37.7 to 1036.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR3LA","LBCBR3LA","2244-tetrmdiphnyl ethr lpd ad(ng/g)","2244-tetrmdiphnyl ether lpd adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.8 to 169"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR3LC","LBDBR3LC","2244-tetrabromphenyl ether comment","2244-tetrabromphenyl ether comment","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""264"", ""0"", ""0""]; Cumulative=[""264"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR4","LBCBR4","22344-pentbromodiphnyl ether(pg/g)","22344-pentbromodiphenyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 31.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR4LA","LBCBR4LA","22344-pentabromphnyl lpd adj(ng/g)","22344-pentabromphnyl lpd adj (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 5.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR4LC","LBDBR4LC","22344-pentabromphenyl ether comt","22344-pentabromphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""206"", ""58"", ""0""]; Cumulative=[""206"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR5","LBCBR5","22445-pentabromodiphnyl ethr(pg/g)","22445-pentabromodiphnyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.5 to 324.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR5LA","LBCBR5LA","22445-pentabrompheyl lpd adj(ng/g)","22445-pentabromphenyl lpid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 51.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR5LC","LBDBR5LC","22445-pentabromphenyl ether comt","22445-pentabromodiphenyl ether comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""264"", ""0"", ""0""]; Cumulative=[""264"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR6","LBCBR6","22446-pentabromodiphyl ether(pg/g)","22446-pentabromodiphyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.2 to 229.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR6LA","LBCBR6LA","22446-pentabromdphyl lpd adj(ng/g)","22446-pentabromdphyl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.2 to 36.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBDBR6LC","LBDBR6LC","22446-pentabromdphenyl ether comt","22446-pentabromdphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""264"", ""0"", ""0""]; Cumulative=[""264"", ""264"", ""264""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_E","LBCBR66","LBCBR66","2344-tetrabromodiphenyl ether(pg/g)","2344-tetrabromodiphenyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 5.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_E","LBCBR66L","LBCBR66L","2344-tetrabromodiphyl lpd adj(ng/g)","2344-tetrabromodiphyl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""264"", ""0""]; Cumulative=[""264"", ""264""]; Skip.to.Item=[""NA"", ""NA""]"
