"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CAFE_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CAFE_F","WTSC2YR","WTSC2YR","Two-year C subsample weights","Two-year C subsample weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 413068.05064"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2831"", ""0""]; Cumulative=[""2831"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URXUCR","URXUCR","Creatinine urine (mg/dL)","Creatinine urine (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""3 to 553"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2762"", ""69""]; Cumulative=[""2762"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URXMU1","URXMU1","1-methyluric acid (umol/L)","1-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.41 to 2200"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URDMU1LC","URDMU1LC","MU1 caffeine comment code","MU1 caffeine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2714"", ""0"", ""117""]; Cumulative=[""2714"", ""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_F","URXMU2","URXMU2","3-methyluric acid (umol/L)","3-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 38.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URDMU2LC","URDMU2LC","MU2 caffeine comment code","MU2 caffeine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2176"", ""538"", ""117""]; Cumulative=[""2176"", ""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_F","URXMU3","URXMU3","7-methyluric acid (umol/L)","7-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 678"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URDMU3LC","URDMU3LC","MU3 caffeine comment code","MU3 caffeine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2679"", ""35"", ""117""]; Cumulative=[""2679"", ""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_F","URXMU4","URXMU4","13-dimethyluric acid (umol/L)","13-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 2020"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URDMU4LC","URDMU4LC","MU4 caffeine comment code","MU4 caffeine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2628"", ""86"", ""117""]; Cumulative=[""2628"", ""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_F","URXMU5","URXMU5","17-dimethyluric acid (umol/L)","17-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 1230"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_F","URDMU5LC","URDMU5LC","MU5 caffeine comment code","MU5 caffeine comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2633"", ""81"", ""117""]; Cumulative=[""2633"", ""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_F","URXMU6","URXMU6","37-dimethyluric acid (umol/L)","37-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 44.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2714"", ""117""]; Cumulative=[""2714"", ""2831""]; Skip.to.Item=[""NA"", ""NA""]"
