"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CAFE_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CAFE_H","WTSC2YR","WTSC2YR","Two-year C subsample weights","Two-year C subsample weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""14405.432403 to 541782.13734"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2713"", ""46"", ""0""]; Cumulative=[""2713"", ""2759"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU1","URXMU1","1-methyluric acid (umol/L)","1-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 2010"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU1LC","URDMU1LC","1-methyluric acid comment code","1-methyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2620"", ""1"", ""138""]; Cumulative=[""2620"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU2","URXMU2","3-methyluric acid (umol/L)","3-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 32.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU2LC","URDMU2LC","3-methyluric acid comment code","3-methyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2151"", ""470"", ""138""]; Cumulative=[""2151"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU3","URXMU3","7-methyluric acid (umol/L)","7-methyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.028 to 576"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU3LC","URDMU3LC","7-methyluric acid comment code","7-methyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2607"", ""14"", ""138""]; Cumulative=[""2607"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU4","URXMU4","13-dimethyluric acid (umol/L)","13-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.014 to 583"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU4LC","URDMU4LC","13-dimethyluric acid comment code","13-dimethyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2557"", ""64"", ""138""]; Cumulative=[""2557"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CAFE_H","URXMU5","URXMU5","17-dimethyluric acid (umol/L)","17-dimethyluric acid (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.014 to 757"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2621"", ""138""]; Cumulative=[""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA""]"
"CAFE_H","URDMU5LC","URDMU5LC","17-dimethyluric acid comment code","17-dimethyluric acid comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2573"", ""48"", ""138""]; Cumulative=[""2573"", ""2621"", ""2759""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
