"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CBC_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"CBC_F","LBXWBCSI","LBXWBCSI","White blood cell count (1000 cells/uL)","White blood cell count: SI","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.4 to 99.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8798"", ""1037""]; Cumulative=[""8798"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXLYPCT","LBXLYPCT","Lymphocyte percent (%)","Lymphocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.9 to 76.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8787"", ""1048""]; Cumulative=[""8787"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXMOPCT","LBXMOPCT","Monocyte percent (%)","Monocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.8 to 40.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8787"", ""1048""]; Cumulative=[""8787"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXNEPCT","LBXNEPCT","Segmented neutrophils percent (%)","Segmented neutrophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.9 to 93.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8787"", ""1048""]; Cumulative=[""8787"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXEOPCT","LBXEOPCT","Eosinophils percent (%)","Eosinophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 34.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8787"", ""1048""]; Cumulative=[""8787"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXBAPCT","LBXBAPCT","Basophils percent (%)","Basophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 19.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8787"", ""1048""]; Cumulative=[""8787"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBDLYMNO","LBDLYMNO","Lymphocyte number (1000 cells/uL)","Lymphocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 20.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8786"", ""1049""]; Cumulative=[""8786"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBDMONO","LBDMONO","Monocyte number (1000 cells/uL)","Monocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 3.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8786"", ""1049""]; Cumulative=[""8786"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBDNENO","LBDNENO","Segmented neutrophils num (1000 cell/uL)","Segmented neutrophils num (1000 cell/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 83.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8786"", ""1049""]; Cumulative=[""8786"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBDEONO","LBDEONO","Eosinophils number (1000 cells/uL)","Eosinophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8786"", ""1049""]; Cumulative=[""8786"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBDBANO","LBDBANO","Basophils number (1000 cells/uL)","Basophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8786"", ""1049""]; Cumulative=[""8786"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXRBCSI","LBXRBCSI","Red blood cell count (million cells/uL)","Red blood cell count (million cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.38 to 7.15"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXHGB","LBXHGB","Hemoglobin (g/dL)","Hemoglobin (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.1 to 19.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXHCT","LBXHCT","Hematocrit (%)","Hematocrit (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""20.5 to 55.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXMCVSI","LBXMCVSI","Mean cell volume (fL)","Mean cell volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""56.1 to 116.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXMCHSI","LBXMCHSI","Mean cell hemoglobin (pg)","Mean cell hemoglobin (pg)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""17.1 to 56.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXMC","LBXMC","MCHC (g/dL)","Mean cell hemoglobin concentration (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""29.5 to 43.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXRDW","LBXRDW","Red cell distribution width (%)","Red cell distribution width (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""9.7 to 31.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXPLTSI","LBXPLTSI","Platelet count (1000 cells/uL)","Platelet count (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""11 to 1000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_F","LBXMPSI","LBXMPSI","Mean platelet volume (fL)","Mean platelet volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.7 to 13.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8799"", ""1036""]; Cumulative=[""8799"", ""9835""]; Skip.to.Item=[""NA"", ""NA""]"
