"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CBC_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"CBC_J","LBXWBCSI","LBXWBCSI","White blood cell count (1000 cells/uL)","White blood cell count (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.9 to 74.2"", ""400"", "".""]; Value.Description=[""Range of Values"", ""400 and over"", ""Missing""]; Count=[""7527"", ""1"", ""838""]; Cumulative=[""7527"", ""7528"", ""8366""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CBC_J","LBXLYPCT","LBXLYPCT","Lymphocyte percent (%)","Lymphocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.4 to 89.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXMOPCT","LBXMOPCT","Monocyte percent (%)","Monocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 57.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXNEPCT","LBXNEPCT","Segmented neutrophils percent (%)","Segmented neutrophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.4 to 92.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXEOPCT","LBXEOPCT","Eosinophils percent (%)","Eosinophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 29.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXBAPCT","LBXBAPCT","Basophils percent (%)","Basophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 4.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBDLYMNO","LBDLYMNO","Lymphocyte number (1000 cells/uL)","Lymphocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 358.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBDMONO","LBDMONO","Monocyte number (1000 cells/uL)","Monocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 6.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBDNENO","LBDNENO","Segmented neutrophils num (1000 cell/uL)","Segmented neutrophils number (1000 cell/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 35.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBDEONO","LBDEONO","Eosinophils number (1000 cells/uL)","Eosinophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBDBANO","LBDBANO","Basophils number (1000 cells/uL)","Basophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 0.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7523"", ""843""]; Cumulative=[""7523"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXRBCSI","LBXRBCSI","Red blood cell count (million cells/uL)","Red blood cell count (million cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.32 to 7.84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7528"", ""838""]; Cumulative=[""7528"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXHGB","LBXHGB","Hemoglobin (g/dL)","Hemoglobin (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.4 to 19.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7528"", ""838""]; Cumulative=[""7528"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_J","LBXHCT","LBXHCT","Hematocrit (%)","Hematocrit (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""23 to 58.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7528"", ""838""]; Cumulative=[""7528"", ""8366""]; Skip.to.Item=[""NA"", ""NA""]"
