"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"EPH_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"EPH_E","WTSB2YR","WTSB2YR","Two-year B subsample weights","Two-year B subsample weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 533131.16757"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2718"", ""0""]; Cumulative=[""2718"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URXUCR","URXUCR","Urinary creatinine","Urinary creatinine","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 490"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2623"", ""95""]; Cumulative=[""2623"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URX4TO","URX4TO","Urinary 4-tert-octylphenol (ng/mL)","Urinary 4-tert-Octyl phenol","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 12.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""114""]; Cumulative=[""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URD4TOLC","URD4TOLC","Urinary 4-tert-octylphenol comment","Urinary 4-tert-octylphenol comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""277"", ""2327"", ""114""]; Cumulative=[""277"", ""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"EPH_E","URXBP3","URXBP3","Urinary Benzophenone-3 (ng/mL)","Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 92900"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""114""]; Cumulative=[""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URDBP3LC","URDBP3LC","Urinary Benzophenone-3 comment","Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3) comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2502"", ""102"", ""114""]; Cumulative=[""2502"", ""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"EPH_E","URXBPH","URXBPH","Urinary Bisphenol A (ng/mL)","Urinary Bisphenol A","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 193"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""114""]; Cumulative=[""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URDBPHLC","URDBPHLC","Urinary Bisphenol A comment","Urinary Bisphenol A comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2438"", ""166"", ""114""]; Cumulative=[""2438"", ""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"EPH_E","URXTRS","URXTRS","Urinary Triclosan (ng/mL)","Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.6 to 2780"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""114""]; Cumulative=[""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
"EPH_E","URDTRSLC","URDTRSLC","Urinary Triclosan comment","Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan) comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2088"", ""516"", ""114""]; Cumulative=[""2088"", ""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"EPH_E","URXBUP","URXBUP","Butyl paraben (ng/ml)","Butyl paraben (ng/ml)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 1150"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2604"", ""114""]; Cumulative=[""2604"", ""2718""]; Skip.to.Item=[""NA"", ""NA""]"
