"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"FOLFMS_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 1 YEARS - 150 YEARS",NA,NA
"FOLFMS_I","LBDFOTSI","LBDFOTSI","Serum total folate (nmol/L)","Serum total folate (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.07 to 1390"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8047"", ""1118""]; Cumulative=[""8047"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBDFOT","LBDFOT","Serum total folate (ng/mL)","Serum total folate (ng/mL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 614"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8047"", ""1118""]; Cumulative=[""8047"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBXSF1SI","LBXSF1SI","5-Methyl-tetrahydrofolate (nmol/L)","5-Methyl-tetrahydrofolate (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.16 to 1370"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8057"", ""1108""]; Cumulative=[""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBDSF1LC","LBDSF1LC","5-Methyl-tetrahydrofolate cmt","5-Methyl-tetrahydrofolic comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""8057"", ""0"", ""1108""]; Cumulative=[""8057"", ""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"FOLFMS_I","LBXSF2SI","LBXSF2SI","Folic acid (nmol/L)","Folic acid (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.099 to 418"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8047"", ""1118""]; Cumulative=[""8047"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBDSF2LC","LBDSF2LC","Folic acid cmt","Folic acid comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""8006"", ""41"", ""1118""]; Cumulative=[""8006"", ""8047"", ""9165""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"FOLFMS_I","LBXSF3SI","LBXSF3SI","5-Formyl-tetrahydrofolate (nmol/L)","5-Formyl-tetrahydrofolate (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.141 to 38.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8057"", ""1108""]; Cumulative=[""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBDSF3LC","LBDSF3LC","5-Formyl-tetrahydrofolate cmt","5-Formyl-tetrahydrofolate comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""185"", ""7872"", ""1108""]; Cumulative=[""185"", ""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"FOLFMS_I","LBXSF4SI","LBXSF4SI","Tetrahydrofolate (nmol/L)","Tetrahydrofolate (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.177 to 23.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8057"", ""1108""]; Cumulative=[""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
"FOLFMS_I","LBDSF4LC","LBDSF4LC","Tetrahydrofolate cmt","Tetrahydrofolate comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""7642"", ""415"", ""1108""]; Cumulative=[""7642"", ""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"FOLFMS_I","LBXSF5SI","LBXSF5SI","510-Methenyl-tetrahydrofolate (nmol/L)","510-Methenyl-tetrahydrofolate (nmol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.141 to 7.13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""8057"", ""1108""]; Cumulative=[""8057"", ""9165""]; Skip.to.Item=[""NA"", ""NA""]"
