"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"L04VOC_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 59 YEARS",NA,NA
"L04VOC_C","WTSVOC2Y","WTSVOC2Y","VOC subsample 2 yr MEC Weight","VOC subsample 2 yr MEC Weight","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 291188.07353"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1489"", ""0""]; Cumulative=[""1489"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
"L04VOC_C","LBXWBF","LBXWBF","Water Bromoform (ng/mL)","Water Bromoform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0707 to 31"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1255"", ""234""]; Cumulative=[""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
"L04VOC_C","LBDWBFLC","LBDWBFLC","Water Bromoform Comment Code","Water Bromoform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""detectable result"", ""below detectable limit"", ""detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""692"", ""563"", ""0"", ""234""]; Cumulative=[""692"", ""1255"", ""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L04VOC_C","LBXWCF","LBXWCF","Water Chloroform (ng/mL)","Water Chloroform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0849 to 130"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1240"", ""249""]; Cumulative=[""1240"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
"L04VOC_C","LBDWCFLC","LBDWCFLC","Water Chloroform Comment Code","Water Chloroform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""2"", ""."", ""0"", ""1""]; Value.Description=[""detectable result and exceeds the calibrated range of assay"", ""Missing"", ""detectable result"", ""below detectable limit""]; Count=[""0"", ""249"", ""1043"", ""197""]; Cumulative=[""1240"", ""1489"", ""1043"", ""1240""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L04VOC_C","LBXWBM","LBXWBM","Water Bromodichloromethane (ng/mL)","Water Bromodichloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0354 to 37"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1255"", ""234""]; Cumulative=[""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
"L04VOC_C","LBDWBMLC","LBDWBMLC","Water Bromodichloromethane Comment Code","Water Bromodichloromethane Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""detectable result"", ""below detectable limit"", ""detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""1096"", ""159"", ""0"", ""234""]; Cumulative=[""1096"", ""1255"", ""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L04VOC_C","LBXWCM","LBXWCM","Water Dibromochloromethane (ng/mL)","Water Dibromochloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0707 to 34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1255"", ""234""]; Cumulative=[""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
"L04VOC_C","LBDWCMLC","LBDWCMLC","Water Dibromochloromethane Comment Code","Water Dibromochloromethane Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""detectable result"", ""below detectable limit"", ""detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""1056"", ""199"", ""0"", ""234""]; Cumulative=[""1056"", ""1255"", ""1255"", ""1489""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L04VOC_C","LBXWME","LBXWME","Water MTBE (ng/mL)","Water Methyl tert. butyl ether (MTBE) Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0707 to 1.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1224"", ""265""]; Cumulative=[""1224"", ""1489""]; Skip.to.Item=[""NA"", ""NA""]"
