"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"L37SWR_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Females only 18 YEARS - 59 YEARS",NA,NA
"L37SWR_C","LBDRPCR","LBDRPCR","Roche HPV linear array summary result","Roche HPV linear array (LA) summary result","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""781"", ""777"", ""29"", ""272""]; Cumulative=[""781"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDRHP","LBDRHP","Roche LA high positive globin control","Roche LA high positive globin control","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Missing""]; Count=[""1552"", ""35"", ""272""]; Cumulative=[""1552"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDRLP","LBDRLP","Roche LA low positive globin control","Roche LA low positive globin control","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Missing""]; Count=[""1540"", ""47"", ""272""]; Cumulative=[""1540"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR06","LBDR06","HPV type 6","HPV type 6","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""68"", ""1490"", ""29"", ""272""]; Cumulative=[""68"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR11","LBDR11","HPV type 11","HPV type 11","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""8"", ""1550"", ""29"", ""272""]; Cumulative=[""8"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR16","LBDR16","HPV type 16","HPV type 16","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""71"", ""1487"", ""29"", ""272""]; Cumulative=[""71"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR18","LBDR18","HPV type 18","HPV type 18","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""38"", ""1520"", ""29"", ""272""]; Cumulative=[""38"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR26","LBDR26","HPV type 26","HPV type 26","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""4"", ""1554"", ""29"", ""272""]; Cumulative=[""4"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR31","LBDR31","HPV type 31","HPV type 31","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""32"", ""1526"", ""29"", ""272""]; Cumulative=[""32"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR33","LBDR33","HPV type 33","HPV type 33","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""32"", ""1526"", ""29"", ""272""]; Cumulative=[""32"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR35","LBDR35","HPV type 35","HPV type 35","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""27"", ""1531"", ""29"", ""272""]; Cumulative=[""27"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR39","LBDR39","HPV type 39","HPV type 39","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""40"", ""1518"", ""29"", ""272""]; Cumulative=[""40"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR40","LBDR40","HPV type 40","HPV type 40","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""24"", ""1534"", ""29"", ""272""]; Cumulative=[""24"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR42","LBDR42","HPV type 42","HPV type 42","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""42"", ""1516"", ""29"", ""272""]; Cumulative=[""42"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR45","LBDR45","HPV type 45","HPV type 45","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""44"", ""1514"", ""29"", ""272""]; Cumulative=[""44"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR51","LBDR51","HPV type 51","HPV type 51","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""101"", ""1457"", ""29"", ""272""]; Cumulative=[""101"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR52","LBDR52","HPV type 52","HPV type 51","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""61"", ""1497"", ""29"", ""272""]; Cumulative=[""61"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR53","LBDR53","HPV type 53","HPV type 53","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""105"", ""1453"", ""29"", ""272""]; Cumulative=[""105"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR54","LBDR54","HPV type 54","HPV type 54","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""70"", ""1488"", ""29"", ""272""]; Cumulative=[""70"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR55","LBDR55","HPV type 55","HPV type 55","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""45"", ""1513"", ""29"", ""272""]; Cumulative=[""45"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L37SWR_C","LBDR56","LBDR56","HPV type 56","HPV type 56","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Inadequate"", ""Missing""]; Count=[""41"", ""1517"", ""29"", ""272""]; Cumulative=[""41"", ""1558"", ""1587"", ""1859""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
