"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PP_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"PP_F","WTSB2YR","WTSB2YR","Environmental B 2 year weights","Environmental B 2 year weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 426061.06902"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2819"", ""0""]; Cumulative=[""2819"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URX14D","URX14D","25-dichlorophenol (ug/L) result","25-dichlorophenol (ug/L) result","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 12700"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2749"", ""70""]; Cumulative=[""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URD14DLC","URD14DLC","25-dichlorophenol comment","25-dichlorophenol comment","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2695"", ""54"", ""70""]; Cumulative=[""2695"", ""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PP_F","URXOPP","URXOPP","O-Phenyl phenol (ug/L) result","O-Phenyl phenol (ug/L) result","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 7.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2749"", ""70""]; Cumulative=[""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URDOPPLC","URDOPPLC","O-Phenyl phenol comment","O-Phenyl phenol comment","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""630"", ""2119"", ""70""]; Cumulative=[""630"", ""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PP_F","URXDCB","URXDCB","24-dichlorophenol (ug/L) result","24-dichlorophenol (ug/L) result","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 429"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2749"", ""70""]; Cumulative=[""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URDDCBLC","URDDCBLC","24-dichlorophenol comment","24-dichlorophenol comment","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2423"", ""326"", ""70""]; Cumulative=[""2423"", ""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PP_F","URX1TB","URX1TB","245-trichlorophenol (ug/L) result","245-trichlorophenol (ug/L) result","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 25.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2749"", ""70""]; Cumulative=[""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URD1TBLC","URD1TBLC","245-trichlorophenol comment","245-trichlorophenol comment","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""706"", ""2043"", ""70""]; Cumulative=[""706"", ""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PP_F","URX3TB","URX3TB","246-trichlorophenol (ug/L) result","246-trichlorophenol (ug/L) result","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.35 to 21.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2749"", ""70""]; Cumulative=[""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
"PP_F","URD3TBLC","URD3TBLC","246-trichlorophenol comment","246-trichlorophenol comment","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""769"", ""1980"", ""70""]; Cumulative=[""769"", ""2749"", ""2819""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PP_F","URXUCR","URXUCR","Urinary creatinine (mg/dL)","Urinary creatinine (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 749"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2755"", ""64""]; Cumulative=[""2755"", ""2819""]; Skip.to.Item=[""NA"", ""NA""]"
