"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PSA_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Males only 40 YEARS - 150 YEARS",NA,NA
"PSA_E","KIQ110","KIQ110","Willing to have blood tested for PSA","Are you willing to have your blood tested for PSA?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1610"", ""23"", ""0"", ""0"", ""259""]; Cumulative=[""1610"", ""1633"", ""1633"", ""1633"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ115","KIQ115","Infection or inflammation of prostate","{Do you/does SP} have an infection or inflammation of the prostate gland at the present time?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""32"", ""1758"", ""1"", ""1"", ""100""]; Cumulative=[""32"", ""1790"", ""1791"", ""1792"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ185","KIQ185","Rectal exam in the last 7 days","{Have you/Has SP} had a rectal exam in the last 7 days?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""25"", ""1766"", ""1"", ""0"", ""100""]; Cumulative=[""25"", ""1791"", ""1792"", ""1792"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ191","KIQ191","prostate biopsy or surgery in last 4 wks","{Have you/Has SP} had a prostate biopsy or other prostate surgery in the last 4 weeks?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6"", ""1785"", ""1"", ""0"", ""100""]; Cumulative=[""6"", ""1791"", ""1792"", ""1792"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ195","KIQ195","Cystoscopy in the last 4 weeks","{Have you/Has SP} had a cystoscopy in the last 4 weeks? (Cystoscopy is an internal examination of the prostate and bladder using a flexible tube-like instrument with a lens inserted through the penis.)","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""12"", ""1779"", ""1"", ""0"", ""100""]; Cumulative=[""12"", ""1791"", ""1792"", ""1792"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ201","KIQ201","Diagnosed with prostate cancer","{Have you/Has SP} ever been told by a doctor or health professional that {you/he} had prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""103"", ""1688"", ""1"", ""0"", ""100""]; Cumulative=[""103"", ""1791"", ""1792"", ""1792"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ221","KIQ221","Age at diagnosis of prostate cancer","How old {were you/was SP} when {you were/he was} first told that {you/he} had prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""45 to 80"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""103"", ""0"", ""0"", ""1789""]; Cumulative=[""103"", ""103"", ""103"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ241","KIQ241","Ever had prostate surgery","{Have you/Has SP} ever had surgery on {your/his} prostate?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""53"", ""50"", ""0"", ""0"", ""1789""]; Cumulative=[""53"", ""103"", ""103"", ""103"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ282","KIQ282","Surgery for prostate cancer?","{Have you/Has SP} had surgery for prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""7"", ""9"", ""."", ""1"", ""2""]; Value.Description=[""Refused"", ""Don't know"", ""Missing"", ""Yes"", ""No""]; Count=[""0"", ""0"", ""1839"", ""53"", ""0""]; Cumulative=[""53"", ""53"", ""1892"", ""53"", ""53""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ301","KIQ301","Radiation treatment for prostate cancer","{Have you/Has SP} ever had radiation treatments for prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""48"", ""54"", ""1"", ""0"", ""1789""]; Cumulative=[""48"", ""102"", ""103"", ""103"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","KIQ311","KIQ311","Taken medicines for prostate cancer","{Have you/Has SP} ever taken prescribed medicines for prostate cancer?","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""25"", ""78"", ""0"", ""0"", ""1789""]; Cumulative=[""25"", ""103"", ""103"", ""103"", ""1892""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PSA_E","LBXP1","LBXP1","Total prostate specific antigen (ng/mL)","Total prostate specific antigen (ng/mL)","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 64.21"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1630"", ""262""]; Cumulative=[""1630"", ""1892""]; Skip.to.Item=[""NA"", ""NA""]"
"PSA_E","LBXP2","LBXP2","Free prostate specific antigen (ng/mL)","Free prostate specific antigen (ng/mL)","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 5.18"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1630"", ""262""]; Cumulative=[""1630"", ""1892""]; Skip.to.Item=[""NA"", ""NA""]"
"PSA_E","LBDP3","LBDP3","Prostate specific antigen ratio (%)","Prostate specific antigen ratio (%)","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 83"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1630"", ""262""]; Cumulative=[""1630"", ""1892""]; Skip.to.Item=[""NA"", ""NA""]"
"PSA_E","LBXPS4","LBXPS4","Complex prostate specific antigen(ng/mL)","Complexed prostate specific antigen (ng/mL)","Males only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 42.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1629"", ""263""]; Cumulative=[""1629"", ""1892""]; Skip.to.Item=[""NA"", ""NA""]"
