"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"P_CBC","LBDBANO","LBDBANO","Basophils number (1000 cells/uL)","Basophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 0.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBDEONO","LBDEONO","Eosinophils number (1000 cells/uL)","Eosinophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBDLYMNO","LBDLYMNO","Lymphocyte number (1000 cells/uL)","Lymphocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 358.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBDMONO","LBDMONO","Monocyte number (1000 cells/uL)","Monocyte number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 6.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBDNENO","LBDNENO","Segmented neutrophils num (1000 cell/uL)","Segmented neutrophils number (1000 cell/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 35.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXBAPCT","LBXBAPCT","Basophils percent (%)","Basophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 4.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXEOPCT","LBXEOPCT","Eosinophils percent (%)","Eosinophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 29.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXHCT","LBXHCT","Hematocrit (%)","Hematocrit (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""21.1 to 58.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXHGB","LBXHGB","Hemoglobin (g/dL)","Hemoglobin (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.4 to 19.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXLYPCT","LBXLYPCT","Lymphocyte percent (%)","Lymphocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.1 to 89.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXMC","LBXMC","Mean Cell Hgb Conc. (g/dL)","Mean cell hemoglobin concentration (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""25.2 to 38.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXMCHSI","LBXMCHSI","Mean cell hemoglobin (pg)","Mean cell hemoglobin (pg)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.2 to 39.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXMCVSI","LBXMCVSI","Mean cell volume (fL)","Mean cell volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.4 to 114.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXMOPCT","LBXMOPCT","Monocyte percent (%)","Monocyte percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 57.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXMPSI","LBXMPSI","Mean platelet volume (fL)","Mean platelet volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.4 to 13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXNEPCT","LBXNEPCT","Segmented neutrophils percent (%)","Segmented neutrophils percent (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.4 to 92.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXNRBC","LBXNRBC","Nucleated red blood cells","Nucleated red blood cells","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12151"", ""1621""]; Cumulative=[""12151"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXPLTSI","LBXPLTSI","Platelet count (1000 cells/uL)","Platelet count (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""8 to 1021"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXRBCSI","LBXRBCSI","Red blood cell count (million cells/uL)","Red blood cell count (million cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.32 to 7.97"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXRDW","LBXRDW","Red cell distribution width (%)","Red cell distribution width (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.3 to 36.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""12156"", ""1616""]; Cumulative=[""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA""]"
"P_CBC","LBXWBCSI","LBXWBCSI","White blood cell count (1000 cells/uL)","White blood cell count (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.9 to 74.2"", ""400"", "".""]; Value.Description=[""Range of Values"", ""400 and over"", ""Missing""]; Count=[""12155"", ""1"", ""1616""]; Cumulative=[""12155"", ""12156"", ""13772""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_CBC","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
