"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_VOCWB","LBD2DFLC","LBD2DFLC","Blood 25-Dimethylfuran Comment Code","Blood 25-Dimethylfuran Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""765"", ""3833"", ""598""]; Cumulative=[""765"", ""4598"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBD4CELC","LBD4CELC","Blood 1112-Tetrachloroethane Cmt Code","Blood 1112-Tetrachloroethane Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""0"", ""4598"", ""598""]; Cumulative=[""0"", ""4598"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV06LC","LBDV06LC","Blood Hexane Comment Code","Blood Hexane Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""10"", ""4418"", ""768""]; Cumulative=[""10"", ""4428"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV07LC","LBDV07LC","Blood Heptane Comment Code","Blood Heptane Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""19"", ""4559"", ""618""]; Cumulative=[""19"", ""4578"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV08LC","LBDV08LC","Blood Octane Comment Code","Blood Octane Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""86"", ""4509"", ""601""]; Cumulative=[""86"", ""4595"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV1DLC","LBDV1DLC","Blood 12-Dichlorobenzene Comment Code","Blood 12-Dichlorobenzene Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2"", ""4571"", ""623""]; Cumulative=[""2"", ""4573"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV2ALC","LBDV2ALC","Blood 12-Dichloroethane Comment Code","Blood 12-Dichloroethane Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""105"", ""4471"", ""620""]; Cumulative=[""105"", ""4576"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV3BLC","LBDV3BLC","Blood 13-Dichlorobenzene Comment Code","Blood 13-Dichlorobenzene Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""0"", ""4598"", ""598""]; Cumulative=[""0"", ""4598"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDV4CLC","LBDV4CLC","Blood Tetrachloroethene Comment Code","Blood Tetrachloroethene Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""307"", ""4149"", ""740""]; Cumulative=[""307"", ""4456"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_VOCWB","LBDVBFLC","LBDVBFLC","Blood Bromoform Comment Code","Blood Bromoform Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""287"", ""4275"", ""634""]; Cumulative=[""287"", ""4562"", ""5196""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
