"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSFR_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSFR_G","WTSSBG2Y","WTSSBG2Y","Surplus specimen B 11-12 2 year weights","Surplus specimen 2 year weights B for 2011-2012","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""17260.918238 to 682109.15247"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2053"", ""1"", ""0""]; Cumulative=[""2053"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSDPHP","SSDPHP","Diphenyl phosphate (ug/L)","Diphenyl phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 101"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2051"", ""3""]; Cumulative=[""2051"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSDPHPL","SSDPHPL","Diphenyl phosphate cmt code","Diphenyl phosphate cmt code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1912"", ""142"", ""0""]; Cumulative=[""1912"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSBDCPP","SSBDCPP","Bis(13-dichloro-2-propyl) phos (ug/L)","Bis(13-dichloro-2-propyl) phos (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 70.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2045"", ""9""]; Cumulative=[""2045"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSBDCPPL","SSBDCPPL","Bis(13-dichloro-2-propyl) phos cmt cd","Bis(13-dichloro-2-propyl) phos cmt cd","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1937"", ""117"", ""0""]; Cumulative=[""1937"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSBCPP","SSBCPP","Bis(1-chloro-2-propyl) phosphate (ug/L)","Bis(1-chloro-2-propyl) phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 17.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2038"", ""16""]; Cumulative=[""2038"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSBCPPL","SSBCPPL","Bis(1-chloro-2-propyl) phosphate cmt cd","Bis(1-chloro-2-propyl) phosphate cmt cd","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1168"", ""886"", ""0""]; Cumulative=[""1168"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSBCEP","SSBCEP","Bis(2-chloroethyl) phosphate (ug/L)","Bis(2-chloroethyl) phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 72.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2036"", ""18""]; Cumulative=[""2036"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSBCEPL","SSBCEPL","Bis(2-chloroethyl) phosphate cmt cd","Bis(2-chloroethyl) phosphate(µg/L)cmt cd","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1768"", ""286"", ""0""]; Cumulative=[""1768"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSDCP","SSDCP","Di-cresyl phosphates (ug/L)","Di-cresyl phosphates (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.354 to 1.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2049"", ""5""]; Cumulative=[""2049"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSDCPL","SSDCPL","Di-cresyl phosphates cmt code","Di-cresyl phosphates (µg/L) cmt code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""9"", ""2045"", ""0""]; Cumulative=[""9"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSDBUP","SSDBUP","Dibutyl phosphate (ug/L)","Dibutyl phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 12.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2031"", ""23""]; Cumulative=[""2031"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSDBUPL","SSDBUPL","Dibutyl phosphate cmt code","Dibutyl phosphate cmt code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""780"", ""1274"", ""0""]; Cumulative=[""780"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSDBZP","SSDBZP","Dibenzyl phosphate (ug/L)","Dibenzyl phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 0.103"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2052"", ""2""]; Cumulative=[""2052"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSDBZPL","SSDBZPL","Dibenzyl phosphate cmt code","Dibenzyl phosphate cmt code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""6"", ""2048"", ""0""]; Cumulative=[""6"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_G","SSTBBA","SSTBBA","2345-tetrabromobenzoic acid (ug/L)","2345-tetrabromobenzoic acid (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 2.79"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2053"", ""1""]; Cumulative=[""2053"", ""2054""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_G","SSTBBAL","SSTBBAL","2345-tetrabromobenzoic acid cmt cd","2345-tetrabromobenzoic acid cmt cd","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""110"", ""1944"", ""0""]; Cumulative=[""110"", ""2054"", ""2054""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
