"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSNORO_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 49 YEARS",NA,NA
"SSNORO_A","SSGI1C1","SSGI1C1","Antibody con. in dup. 1 for GI.1 ag","Antibody con. in dup. 1 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""917"", ""29""]; Cumulative=[""917"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI1C2","SSGI1C2","Antibody con. in dup. 2 for GI.1 ag","Antibody con. in dup. 2 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""916"", ""30""]; Cumulative=[""916"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI1CM","SSGI1CM","Mean antibody concentration for GI.1 ag","Mean antibody concentration for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""917"", ""29""]; Cumulative=[""917"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI1OD1","SSGI1OD1","Optical density in dup. 1 for GI.1 ag","Optical density in dup. 1 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""946"", ""0""]; Cumulative=[""946"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI1OD2","SSGI1OD2","Optical density in dup. 2 for GI.1 ag","Optical density in dup. 2 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""945"", ""1""]; Cumulative=[""945"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI1ODM","SSGI1ODM","Mean optical density for GI.1 antigen","Mean optical density for GI.1 antigen","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""946"", ""0""]; Cumulative=[""946"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI4C1","SSGI4C1","Antibody con. in dup. 1 for GI.4 ag","Antibody con. in dup. 1 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""896"", ""50""]; Cumulative=[""896"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI4C2","SSGI4C2","Antibody con. in dup. 2 for GI.4 ag","Antibody con. in dup. 2 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""896"", ""50""]; Cumulative=[""896"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI4CM","SSGI4CM","Mean antibody concentration for GI.4 ag","Mean antibody concentration for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""902"", ""44""]; Cumulative=[""902"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_A","SSGI4OD1","SSGI4OD1","Optical density in dup. 1 for GI.4 ag","Optical density in dup. 1 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""946"", ""0""]; Cumulative=[""946"", ""946""]; Skip.to.Item=[""NA"", ""NA""]"
