"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSNORO_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 49 YEARS",NA,NA
"SSNORO_C","SSGI1C1","SSGI1C1","Antibody con. in dup. 1 for GI.1 ag","Antibody con. in dup. 1 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1031"", ""5""]; Cumulative=[""1031"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI1C2","SSGI1C2","Antibody con. in dup. 2 for GI.1 ag","Antibody con. in dup. 2 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1032"", ""4""]; Cumulative=[""1032"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI1CM","SSGI1CM","Mean antibody concentration for GI.1 ag","Mean antibody concentration for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1035"", ""1""]; Cumulative=[""1035"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI1OD1","SSGI1OD1","Optical density in dup. 1 for GI.1 ag","Optical density in dup. 1 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1031"", ""5""]; Cumulative=[""1031"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI1OD2","SSGI1OD2","Optical density in dup. 2 for GI.1 ag","Optical density in dup. 2 for GI.1 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1032"", ""4""]; Cumulative=[""1032"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI1ODM","SSGI1ODM","Mean optical density for GI.1 antigen","Mean optical density for GI.1 antigen","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1035"", ""1""]; Cumulative=[""1035"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI4C1","SSGI4C1","Antibody con. in dup. 1 for GI.4 ag","Antibody con. in dup. 1 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""960"", ""76""]; Cumulative=[""960"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI4C2","SSGI4C2","Antibody con. in dup. 2 for GI.4 ag","Antibody con. in dup. 2 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""958"", ""78""]; Cumulative=[""958"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI4CM","SSGI4CM","Mean antibody concentration for GI.4 ag","Mean antibody concentration for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0 to 100000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""960"", ""76""]; Cumulative=[""960"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
"SSNORO_C","SSGI4OD1","SSGI4OD1","Optical density in dup. 1 for GI.4 ag","Optical density in dup. 1 for GI.4 ag","Both males and females 16 YEARS - 49 YEARS",NA,"Code.or.Value=[""0.005 to 3.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1036"", ""0""]; Cumulative=[""1036"", ""1036""]; Skip.to.Item=[""NA"", ""NA""]"
