"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"THYROD_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"THYROD_E","LBXATG","LBXATG","Thyroglobulin antibodies (IU/mL)","Thyroglobulin antibodies (IU/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 2391.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6250"", ""667""]; Cumulative=[""6250"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXT3F","LBXT3F","Triiodothyronine (T3) free (pg/mL)","Triiodothyronine (T3) free (pg/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 20.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6262"", ""655""]; Cumulative=[""6262"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXT4F","LBXT4F","Thyroxine free (ng/dL)","Thyroxine free (ng/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 4.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6264"", ""653""]; Cumulative=[""6264"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBDT4FSI","LBDT4FSI","Thyroxine free (pmol/L)","Thyroxine free (pmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.3 to 61.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6264"", ""653""]; Cumulative=[""6264"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXTGN","LBXTGN","Thyroglobulin (ng/mL)","Thyroglobulin (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 4461"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6262"", ""655""]; Cumulative=[""6262"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBDTGNSI","LBDTGNSI","Thyroglobulin (ug/L)","Thyroglobulin (ug/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 4461"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6262"", ""655""]; Cumulative=[""6262"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXTSH1","LBXTSH1","Thyroid stimulating hormone (uIU/mL)","Thyroid stimulating hormone (uIU/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.002 to 280.76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6265"", ""652""]; Cumulative=[""6265"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBDTSH1S","LBDTSH1S","Thyroid stimulating hormone (mIU/L)","Thyroid stimulating hormone (mIU/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.002 to 280.76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6265"", ""652""]; Cumulative=[""6265"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXTPO","LBXTPO","Thyroid peroxidase antibodies (IU/mL)","Thyroid peroxidase antibodies (IU/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 2376"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6214"", ""703""]; Cumulative=[""6214"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXTT3","LBXTT3","Triiodothyronine (T3) total (ng/dL)","Triiodothyronine (T3) total (ng/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""37 to 707"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6262"", ""655""]; Cumulative=[""6262"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBDTT3SI","LBDTT3SI","Triiodothyronine (T3) total (nmol/L)","Triiodothyronine (T3) total (nmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6262"", ""655""]; Cumulative=[""6262"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
"THYROD_E","LBXTT4","LBXTT4","Thyroxine total (T4) (ug/dL)","Thyroxine total (T4) (ug/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.5 to 27.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6263"", ""654""]; Cumulative=[""6263"", ""6917""]; Skip.to.Item=[""NA"", ""NA""]"
