"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"UPHOPM_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"UPHOPM_I","WTSB2YR","WTSB2YR","Environmental Subsample B Weights","Environmental Subsample B Weights","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""6552.119284 to 874638.01159"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Participants 6+ years with no lab specimen"", ""Missing""]; Count=[""3149"", ""56"", ""0""]; Cumulative=[""3149"", ""3205"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URX24D","URX24D","24-D (ug/L)","24-dicholorphenoxyacetic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.11 to 98"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3034"", ""171""]; Cumulative=[""3034"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URD24DLC","URD24DLC","24-D Comment Code","24-dicholorphenoxyacetic acid Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2478"", ""556"", ""171""]; Cumulative=[""2478"", ""3034"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXCPM","URXCPM","356-trichloropyridinol (ug/L)","356-trichloropyridinol (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3033"", ""172""]; Cumulative=[""3033"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDCPMLC","URDCPMLC","356-trichloropyridinol Comment Code","356-trichloropyridinol Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3017"", ""16"", ""172""]; Cumulative=[""3017"", ""3033"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URX4FP","URX4FP","4-fluoro-3-phenoxy-benzoic acid (ug/L)","4-fluoro-3-phenoxy-benzoic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 40"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3036"", ""169""]; Cumulative=[""3036"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URD4FPLC","URD4FPLC","4-fluoro-3-phenoxy-benzoic acid Cmt Code","4-fluoro-3-phenoxy-benzoic acid Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""397"", ""2639"", ""169""]; Cumulative=[""397"", ""3036"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXOPM","URXOPM","3-phenoxybenzoic acid (ug/L)","3-phenoxybenzoic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 190"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3022"", ""183""]; Cumulative=[""3022"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDOPMLC","URDOPMLC","3-phenoxybenzoic acid Comment Code","3-phenoxybenzoic acid Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2918"", ""104"", ""183""]; Cumulative=[""2918"", ""3022"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXOXY","URXOXY","Oxypyrimidine (ug/L)","2-isopropyl-4-methyl-pyrimidinol (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3038"", ""167""]; Cumulative=[""3038"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDOXYLC","URDOXYLC","Oxypyrimidine Comment Code","2-isopropyl-4-methyl-pyrimidinol Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""736"", ""2302"", ""167""]; Cumulative=[""736"", ""3038"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXPAR","URXPAR","para-Nitrophenol (ug/L)","para-Nitrophenol (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3039"", ""166""]; Cumulative=[""3039"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDPARLC","URDPARLC","para-Nitrophenol Comment Code","para-Nitrophenol Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2974"", ""65"", ""166""]; Cumulative=[""2974"", ""3039"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXTCC","URXTCC","Dichlorovnl-dimeth prop carboacid (ug/L)","Trans-3-(22-dichlorovinyl)-22-dimethylcyclopropane carboxylic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.42 to 280"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3022"", ""183""]; Cumulative=[""3022"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDTCCLC","URDTCCLC","Dichlorovnl-dimeth prop carboacid Code","Trans-3-(22-dichlorovinyl)-22-dimethylcyclopropane carboxylic acid Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1143"", ""1879"", ""183""]; Cumulative=[""1143"", ""3022"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UPHOPM_I","URXMAL","URXMAL","Malathion diacid","Malathion diacid","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.35 to 100"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3028"", ""177""]; Cumulative=[""3028"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"UPHOPM_I","URDMALLC","URDMALLC","Malathion diacid comment code","Malathion diacid comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""510"", ""2518"", ""177""]; Cumulative=[""510"", ""3028"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
