,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,nan,,
1,WTSTH2YR,4335.5451191 To 935505.32656,Range Of Values,Thyroid hormones Subsample 2 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
2,WTSTH2YR,0,Non-Respondent,Thyroid hormones Subsample 2 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
3,WTSTH2YR,.,Missing,Thyroid hormones Subsample 2 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
4,WTSTH4YR,2180.4011513 To 345844.28659,Range Of Values,Thyroid hormones Subsample 4 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
5,WTSTH4YR,0,Non-Respondent,Thyroid hormones Subsample 4 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
6,WTSTH4YR,.,Missing,Thyroid hormones Subsample 4 yr Mec Wgt,Both males and females 12 YEARS - 150 YEARS,nan,,
7,LBXT4,0.4 To 18.5,Range Of Values,Thyroxine (T4) (ug/dL),Both males and females 12 YEARS - 150 YEARS,nan,,
8,LBXT4,.,Missing,Thyroxine (T4) (ug/dL),Both males and females 12 YEARS - 150 YEARS,nan,,
9,LBDT4SI,5.1 To 238.1,Range Of Values,Thyroxine (T4) (nmol/L),Both males and females 12 YEARS - 150 YEARS,nan,,
10,LBDT4SI,.,Missing,Thyroxine (T4) (nmol/L),Both males and females 12 YEARS - 150 YEARS,nan,,
11,LBXTSH,0.01 To 81.85,Range Of Values,Thyroid stimulating hormone (uIU/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
12,LBXTSH,.,Missing,Thyroid stimulating hormone (uIU/mL),Both males and females 12 YEARS - 150 YEARS,nan,,
