,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,nan,,
1,LBXHBC,1,Positive,Hepatitis B core antibody,Both males and females 6 YEARS - 150 YEARS,nan,,
2,LBXHBC,2,Negative,Hepatitis B core antibody,Both males and females 6 YEARS - 150 YEARS,nan,,
3,LBXHBC,.,Missing,Hepatitis B core antibody,Both males and females 6 YEARS - 150 YEARS,nan,,
4,LBDHBG,1,Positive,Hepatitis B surface antigen,Both males and females 6 YEARS - 150 YEARS,nan,,
5,LBDHBG,2,Negative,Hepatitis B surface antigen,Both males and females 6 YEARS - 150 YEARS,nan,,
6,LBDHBG,.,Missing,Hepatitis B surface antigen,Both males and females 6 YEARS - 150 YEARS,nan,,
7,LBDHCV,1,Positive,Hepatitis C antibody (confirmed),Both males and females 6 YEARS - 150 YEARS,nan,,
8,LBDHCV,2,Negative,Hepatitis C antibody (confirmed),Both males and females 6 YEARS - 150 YEARS,nan,,
9,LBDHCV,5,Indeterminate,Hepatitis C antibody (confirmed),Both males and females 6 YEARS - 150 YEARS,nan,,
10,LBDHCV,.,Missing,Hepatitis C antibody (confirmed),Both males and females 6 YEARS - 150 YEARS,nan,,
11,LBXHCR,1,Positive,Hepatitis C RNA (HCV-RNA),Both males and females 6 YEARS - 150 YEARS,nan,,
12,LBXHCR,2,Negative,Hepatitis C RNA (HCV-RNA),Both males and females 6 YEARS - 150 YEARS,nan,,
13,LBXHCR,.,Missing,Hepatitis C RNA (HCV-RNA),Both males and females 6 YEARS - 150 YEARS,nan,,
14,LBDHD,1,Positive,Hepatitis D (anti-HDV),Both males and females 6 YEARS - 150 YEARS,nan,,
15,LBDHD,2,Negative,Hepatitis D (anti-HDV),Both males and females 6 YEARS - 150 YEARS,nan,,
16,LBDHD,.,Missing,Hepatitis D (anti-HDV),Both males and females 6 YEARS - 150 YEARS,nan,,
