,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 16 YEARS - 49 YEARS,nan,,
1,LB2DAY,6 To 45,Range Of Values,The number of days between the collection of the first and second exam,Both males and females 16 YEARS - 49 YEARS,nan,,
2,LB2DAY,.,Missing,The number of days between the collection of the first and second exam,Both males and females 16 YEARS - 49 YEARS,nan,,
3,LB2ME,0 To 29.27,Range Of Values,Measles,Both males and females 6 YEARS - 49 YEARS,nan,,
4,LB2ME,.,Missing,Measles,Both males and females 6 YEARS - 49 YEARS,nan,,
5,LB2RU,0.01 To 19.3,Range Of Values,Rubella,Both males and females 16 YEARS - 49 YEARS,nan,,
6,LB2RU,.,Missing,Rubella,Both males and females 16 YEARS - 49 YEARS,nan,,
7,LB2RUIU,1 To 227,Range Of Values,Rubella antibody (international units),Both males and females 16 YEARS - 49 YEARS,nan,,
8,LB2RUIU,.,Missing,Rubella antibody (international units),Both males and females 16 YEARS - 49 YEARS,nan,,
9,LB2VAR,0.01 To 29.33,Range Of Values,Varicella,Both males and females 16 YEARS - 49 YEARS,nan,,
10,LB2VAR,.,Missing,Varicella,Both males and females 16 YEARS - 49 YEARS,nan,,
