,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,LBXSAL,2.1 To 5.5,Range Of Values,,
2,LBXSAL,.,Missing,,
3,LBDSALSI,21 To 55,Range Of Values,,
4,LBDSALSI,.,Missing,,
5,LBXSATSI,3 To 1925,Range Of Values,,
6,LBXSATSI,.,Missing,,
7,LBXSASSI,7 To 279,Range Of Values,,
8,LBXSASSI,.,Missing,,
9,LBDSAPSI,12 To 673,Range Of Values,,
10,LBDSAPSI,.,Missing,,
11,LBXSBU,1 To 122,Range Of Values,,
12,LBXSBU,.,Missing,,
13,LBDSBUSI,0.36 To 43.55,Range Of Values,,
14,LBDSBUSI,.,Missing,,
15,LBXSCA,6.9 To 12.4,Range Of Values,,
16,LBXSCA,.,Missing,,
17,LBDSCASI,1.725 To 3.1,Range Of Values,,
18,LBDSCASI,.,Missing,,
19,LBXSCH,70 To 598,Range Of Values,,
20,LBXSCH,.,Missing,,
21,LBDSCHSI,1.81 To 15.46,Range Of Values,,
22,LBDSCHSI,.,Missing,,
23,LBXSC3SI,10 To 32,Range Of Values,,
24,LBXSC3SI,.,Missing,,
25,LBXSGTSI,4 To 1464,Range Of Values,,
26,LBXSGTSI,.,Missing,,
27,LBXSGL,30 To 707,Range Of Values,,
28,LBXSGL,.,Missing,,
29,LBDSGLSI,1.665 To 39.246,Range Of Values,,
30,LBDSGLSI,.,Missing,,
31,LBXSIR,7 To 357,Range Of Values,,
32,LBXSIR,.,Missing,,
33,LBDSIRSI,1.25 To 63.94,Range Of Values,,
34,LBDSIRSI,.,Missing,,
35,LBDSLDSI,35 To 587,Range Of Values,,
36,LBDSLDSI,.,Missing,,
37,LBDSPH,1.8 To 7.4,Range Of Values,,
38,LBDSPH,.,Missing,,
39,LBDSPHSI,0.58 To 2.39,Range Of Values,,
40,LBDSPHSI,.,Missing,,
41,LBDSTB,0.1 To 4.4,Range Of Values,,
42,LBDSTB,.,Missing,,
43,LBDSTBSI,1.71 To 75.24,Range Of Values,,
44,LBDSTBSI,.,Missing,,
45,LBXSTP,5.3 To 10.1,Range Of Values,,
46,LBXSTP,.,Missing,,
47,LBDSTPSI,53 To 101,Range Of Values,,
48,LBDSTPSI,.,Missing,,
49,LBXSTR,16 To 3854,Range Of Values,,
50,LBXSTR,.,Missing,,
51,LBDSTRSI,0.181 To 43.512,Range Of Values,,
52,LBDSTRSI,.,Missing,,
53,LBXSUA,0.4 To 14.5,Range Of Values,,
54,LBXSUA,.,Missing,,
55,LBDSUASI,23.8 To 862.5,Range Of Values,,
56,LBDSUASI,.,Missing,,
57,LBDSCR,0.1 To 12.9,Range Of Values,,
58,LBDSCR,.,Missing,,
59,LBDSCRSI,8.84 To 1140.36,Range Of Values,,
60,LBDSCRSI,.,Missing,,
61,LBXSNASI,100 To 149,Range Of Values,,
62,LBXSNASI,.,Missing,,
63,LBXSKSI,2.5 To 6.8,Range Of Values,,
64,LBXSKSI,.,Missing,,
65,LBXSCLSI,72 To 114,Range Of Values,,
66,LBXSCLSI,.,Missing,,
67,LBXSOSSI,201 To 312,Range Of Values,,
68,LBXSOSSI,.,Missing,,
69,LBXSGB,1.6 To 6.2,Range Of Values,,
70,LBXSGB,.,Missing,,
71,LBDSGBSI,16 To 62,Range Of Values,,
72,LBDSGBSI,.,Missing,,
73,LBXFSH,0.14 To 196.1,Range Of Values,,
74,LBXFSH,.,Missing,,
75,LBDFSHSI,0.14 To 196.1,Range Of Values,,
76,LBDFSHSI,.,Missing,,
77,LBXLH,0.1 To 126.51,Range Of Values,,
78,LBXLH,.,Missing,,
79,LBDLHSI,0.1 To 126.51,Range Of Values,,
80,LBDLHSI,.,Missing,,
