,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 3 YEARS - 150 YEARS,nan,,
1,WTSAF2YR,0 To 355659.4,Range Of Values,2Yr AM(3-11) & fasting (12+) weights,Both males and females 3 YEARS - 150 YEARS,nan,,
2,WTSAF2YR,.,Missing,2Yr AM(3-11) & fasting (12+) weights,Both males and females 3 YEARS - 150 YEARS,nan,,
3,LBXTR,20 To 2740,Range Of Values,Triglyceride (mg/dL),Both males and females 3 YEARS - 150 YEARS,nan,,
4,LBXTR,.,Missing,Triglyceride (mg/dL),Both males and females 3 YEARS - 150 YEARS,nan,,
5,LBDTRSI,0.226 To 30.935,Range Of Values,Triglyceride (mmol/L),Both males and females 3 YEARS - 150 YEARS,nan,,
6,LBDTRSI,.,Missing,Triglyceride (mmol/L),Both males and females 3 YEARS - 150 YEARS,nan,,
7,LBDLDL,21 To 629,Range Of Values,LDL-cholesterol (mg/dL),Both males and females 3 YEARS - 150 YEARS,nan,,
8,LBDLDL,.,Missing,LDL-cholesterol (mg/dL),Both males and females 3 YEARS - 150 YEARS,nan,,
9,LBDLDLSI,0.543 To 16.266,Range Of Values,LDL-cholesterol (mmol/L),Both males and females 3 YEARS - 150 YEARS,nan,,
10,LBDLDLSI,.,Missing,LDL-cholesterol (mmol/L),Both males and females 3 YEARS - 150 YEARS,nan,,
