,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Females only 14 YEARS - 49 YEARS,nan,,
1,LBXBVPH,Ph Of Bacterial Vaginosis Specimen,Value Was Recorded,PH of Bacterial Vaginosis Specimen,Females only 14 YEARS - 49 YEARS,nan,,
2,LBXBVPH,< Blank >,Missing,PH of Bacterial Vaginosis Specimen,Females only 14 YEARS - 49 YEARS,nan,,
3,LBXTV,1,Positive,Trichomonas Vaginalis,Females only 14 YEARS - 49 YEARS,nan,,
4,LBXTV,2,Negative,Trichomonas Vaginalis,Females only 14 YEARS - 49 YEARS,nan,,
5,LBXTV,3,Uninterpretable,Trichomonas Vaginalis,Females only 14 YEARS - 49 YEARS,nan,,
6,LBXTV,.,Missing,Trichomonas Vaginalis,Females only 14 YEARS - 49 YEARS,nan,,
7,LBXBV,1,Positive,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
8,LBXBV,2,Negative,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
9,LBXBV,3,Intermediate,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
10,LBXBV,4,Lack Of Lactobacillis/Abnormal Epithelial Cells,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
11,LBXBV,5,Lack Of Lactobacillis/Abnormal Epithelial Cells And Abnormal Bacteria,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
12,LBXBV,.,Missing,Bacterial Vaginosis,Females only 14 YEARS - 49 YEARS,nan,,
