,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,LBXMS1,1,Yes,,
2,LBXMS1,2,No,,
3,LBXMS1,.,Missing,,
4,LBXM1,1,Yes,,
5,LBXM1,2,No,,
6,LBXM1,.,Missing,,
7,LBXMT1,1,Sensitive,,
8,LBXMT1,2,Resistant,,
9,LBXMT1,3,Intermediate,,
10,LBXMT1,4,No Result,,
11,LBXMT1,.,Missing,,
12,LBXMZ1,1,Sensitive,,
13,LBXMZ1,2,Resistant,,
14,LBXMZ1,3,Intermediate,,
15,LBXMZ1,4,No Result,,
16,LBXMZ1,.,Missing,,
17,LBXMC1,1,Sensitive,,
18,LBXMC1,2,Resistant,,
19,LBXMC1,3,Intermediate,,
20,LBXMC1,4,No Result,,
21,LBXMC1,.,Missing,,
22,LBXME1,1,Sensitive,,
23,LBXME1,2,Resistant,,
24,LBXME1,3,Intermediate,,
25,LBXME1,4,No Result,,
26,LBXME1,.,Missing,,
27,LBXMP1,1,Sensitive,,
28,LBXMP1,2,Resistant,,
29,LBXMP1,3,Intermediate,,
30,LBXMP1,4,No Result,,
31,LBXMP1,.,Missing,,
32,LBXMV1,1,Sensitive,,
33,LBXMV1,2,Resistant,,
34,LBXMV1,3,Intermediate,,
35,LBXMV1,4,No Result,,
36,LBXMV1,.,Missing,,
37,LBXMO1,1,Sensitive,,
38,LBXMO1,2,Resistant,,
39,LBXMO1,3,Intermediate,,
40,LBXMO1,4,No Result,,
41,LBXMO1,.,Missing,,
42,LBXMG1,1,Sensitive,,
43,LBXMG1,2,Resistant,,
44,LBXMG1,3,Intermediate,,
45,LBXMG1,4,No Result,,
46,LBXMG1,.,Missing,,
47,LBXML1,1,Sensitive,,
48,LBXML1,2,Resistant,,
49,LBXML1,3,Intermediate,,
50,LBXML1,4,No Result,,
51,LBXML1,.,Missing,,
52,LBXMR1,1,Sensitive,,
53,LBXMR1,2,Resistant,,
54,LBXMR1,3,Intermediate,,
55,LBXMR1,4,No Result,,
56,LBXMR1,.,Missing,,
57,LBAMMT1,Molecular Type 1,Value Was Recorded,,
58,LBAMMT1,< Blank >,Missing,,
59,LBXBL1,1,Negative,,
60,LBXBL1,2,Positive,,
61,LBXBL1,3,No Result,,
62,LBXBL1,.,Missing,,
63,LBXCD1,1,No Inducible Resistance Detected,,
64,LBXCD1,2,Inducible Resistance Detected,,
65,LBXCD1,3,No Result,,
66,LBXCD1,.,Missing,,
67,LBXCH1,1,Sensitive,,
68,LBXCH1,2,Resistant,,
69,LBXCH1,3,Intermediate,,
70,LBXCH1,4,No Result,,
71,LBXCH1,.,Missing,,
72,LBXDX1,1,Sensitive,,
73,LBXDX1,2,Resistant,,
74,LBXDX1,3,Intermediate,,
75,LBXDX1,4,No Result,,
76,LBXDX1,.,Missing,,
77,LBXDY1,1,Sensitive,,
78,LBXDY1,2,Nonsusceptible,,
79,LBXDY1,3,No Result,,
80,LBXDY1,.,Missing,,
81,LBXLZ1,1,Sensitive,,
82,LBXLZ1,2,Non Susceptible,,
83,LBXLZ1,3,No Result,,
84,LBXLZ1,.,Missing,,
85,LBXQD1,1,Sensitive,,
86,LBXQD1,2,Resistant,,
87,LBXQD1,3,Intermediate,,
88,LBXQD1,4,No Result,,
89,LBXQD1,.,Missing,,
90,LBXMS2,1,Yes,,
91,LBXMS2,2,No,,
92,LBXMS2,.,Missing,,
93,LBXMT2,1,Sensitive,,
94,LBXMT2,2,Resistant,,
95,LBXMT2,3,Intermediate,,
96,LBXMT2,4,No Result,,
97,LBXMT2,.,Missing,,
98,LBXMZ2,1,Sensitive,,
99,LBXMZ2,2,Resistant,,
100,LBXMZ2,3,Intermediate,,
101,LBXMZ2,4,No Result,,
102,LBXMZ2,.,Missing,,
103,LBXMC2,1,Sensitive,,
104,LBXMC2,2,Resistant,,
105,LBXMC2,3,Intermediate,,
106,LBXMC2,4,No Result,,
107,LBXMC2,.,Missing,,
108,LBXME2,1,Sensitive,,
109,LBXME2,2,Resistant,,
110,LBXME2,3,Intermediate,,
111,LBXME2,4,No Result,,
112,LBXME2,.,Missing,,
113,LBXMP2,1,Sensitive,,
114,LBXMP2,2,Resistant,,
115,LBXMP2,3,Intermediate,,
116,LBXMP2,4,No Result,,
117,LBXMP2,.,Missing,,
118,LBXMV2,1,Sensitive,,
119,LBXMV2,2,Resistant,,
120,LBXMV2,3,Intermediate,,
121,LBXMV2,4,No Result,,
122,LBXMV2,.,Missing,,
123,LBXMO2,1,Sensitive,,
124,LBXMO2,2,Resistant,,
125,LBXMO2,3,Intermediate,,
126,LBXMO2,4,No Result,,
127,LBXMO2,.,Missing,,
128,LBXMG2,1,Sensitive,,
