,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,nan,,
1,SSHCVRNA,1,Positive,Hepatitis C RNA,Both males and females 6 YEARS - 150 YEARS,nan,,
2,SSHCVRNA,2,Negative,Hepatitis C RNA,Both males and females 6 YEARS - 150 YEARS,nan,,
3,SSHCVRNA,.,Missing,Hepatitis C RNA,Both males and females 6 YEARS - 150 YEARS,nan,,
4,SSHCVGEN,1,Genotype 1A,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
5,SSHCVGEN,2,Genotype 1B,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
6,SSHCVGEN,3,Genotype 1 Other Than 1 A Or 1B Or Subtype Not Determined,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
7,SSHCVGEN,4,Genotype 2,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
8,SSHCVGEN,5,Genotype 3,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
9,SSHCVGEN,6,Genotype 4,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
10,SSHCVGEN,7,Genotype 5,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
11,SSHCVGEN,8,Genotype 6,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
12,SSHCVGEN,9,Undetermined,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
13,SSHCVGEN,.,Missing,Hepatitis C genotype,Both males and females 6 YEARS - 150 YEARS,nan,,
