,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,LBXSAL,1.2 To 5.5,Range Of Values,,
2,LBXSAL,.,Missing,,
3,LBDSALSI,12 To 55,Range Of Values,,
4,LBDSALSI,.,Missing,,
5,LBXSATSI,4 To 890,Range Of Values,,
6,LBXSATSI,.,Missing,,
7,LBXSASSI,8 To 1034,Range Of Values,,
8,LBXSASSI,.,Missing,,
9,LBXSAPSI,14 To 679,Range Of Values,,
10,LBXSAPSI,.,Missing,,
11,LBXSBU,2 To 72,Range Of Values,,
12,LBXSBU,.,Missing,,
13,LBXSCA,7 To 11.5,Range Of Values,,
14,LBXSCA,.,Missing,,
15,LBDSCASI,1.75 To 2.875,Range Of Values,,
16,LBDSCASI,.,Missing,,
17,LBDSBUSI,0.71 To 25.7,Range Of Values,,
18,LBDSBUSI,.,Missing,,
19,LBXSCH,74 To 453,Range Of Values,,
20,LBXSCH,.,Missing,,
21,LBDSCHSI,1.914 To 11.715,Range Of Values,,
22,LBDSCHSI,.,Missing,,
23,LBXSC3SI,10 To 40,Range Of Values,,
24,LBXSC3SI,.,Missing,,
25,LBXSCR,0.31 To 8.32,Range Of Values,,
26,LBXSCR,.,Missing,,
27,LBDSCRSI,27.4 To 735.49,Range Of Values,,
28,LBDSCRSI,.,Missing,,
29,LBXSGTSI,4 To 892,Range Of Values,,
30,LBXSGTSI,.,Missing,,
31,LBXSGL,33 To 559,Range Of Values,,
32,LBXSGL,.,Missing,,
33,LBDSGLSI,1.83 To 31.03,Range Of Values,,
34,LBDSGLSI,.,Missing,,
35,LBXSIR,7 To 387,Range Of Values,,
36,LBXSIR,.,Missing,,
37,LBDSIRSI,1.3 To 69.3,Range Of Values,,
38,LBDSIRSI,.,Missing,,
39,LBXSLDSI,50 To 661,Range Of Values,,
40,LBXSLDSI,.,Missing,,
41,LBXSPH,1.5 To 7.6,Range Of Values,,
42,LBXSPH,.,Missing,,
43,LBDSPHSI,0.484 To 2.454,Range Of Values,,
44,LBDSPHSI,.,Missing,,
45,LBXSTB,0.1 To 4,Range Of Values,,
46,LBXSTB,.,Missing,,
47,LBDSTBSI,1.71 To 68.4,Range Of Values,,
48,LBDSTBSI,.,Missing,,
49,LBXSTP,3.4 To 10.4,Range Of Values,,
50,LBXSTP,.,Missing,,
51,LBDSTPSI,34 To 104,Range Of Values,,
52,LBDSTPSI,.,Missing,,
53,LBXSTR,16 To 3281,Range Of Values,,
54,LBXSTR,.,Missing,,
55,LBDSTRSI,0.181 To 37.042,Range Of Values,,
56,LBDSTRSI,.,Missing,,
57,LBXSUA,1.7 To 13.1,Range Of Values,,
58,LBXSUA,.,Missing,,
59,LBDSUASI,101.1 To 779.2,Range Of Values,,
60,LBDSUASI,.,Missing,,
61,LBXSNASI,114 To 160,Range Of Values,,
62,LBXSNASI,.,Missing,,
63,LBXSKSI,2.5 To 6,Range Of Values,,
64,LBXSKSI,.,Missing,,
65,LBXSCLSI,82 To 120,Range Of Values,,
66,LBXSCLSI,.,Missing,,
67,LBXSOSSI,228 To 321,Range Of Values,,
68,LBXSOSSI,.,Missing,,
69,LBXSGB,1 To 6.5,Range Of Values,,
70,LBXSGB,.,Missing,,
71,LBDSGBSI,10 To 65,Range Of Values,,
72,LBDSGBSI,.,Missing,,
