,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,nan,,
1,WTSA2YR,0 To 604864.71127,Range Of Values,Environmental A two year weights,Both males and females 6 YEARS - 150 YEARS,nan,,
2,WTSA2YR,.,Missing,Environmental A two year weights,Both males and females 6 YEARS - 150 YEARS,nan,,
3,URXUCR,7 To 528,Range Of Values,Urinary creatinine (mg/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
4,URXUCR,.,Missing,Urinary creatinine (mg/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
5,URXUAS,0.52 To 1195,Range Of Values,Urinary total arsenic (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
6,URXUAS,.,Missing,Urinary total arsenic (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
7,URDUASLC,0,At Or Above The Detection Limit,Urinary Arsenic comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
8,URDUASLC,1,Below Lower Detection Limit,Urinary Arsenic comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
9,URDUASLC,.,Missing,Urinary Arsenic comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
10,URXUAS3,0.85 To 156,Range Of Values,Urinary Arsenous acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
11,URXUAS3,.,Missing,Urinary Arsenous acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
12,URDUA3LC,0,At Or Above The Detection Limit,Urinary Arsenous acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
13,URDUA3LC,1,Below Lower Detection Limit,Urinary Arsenous acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
14,URDUA3LC,.,Missing,Urinary Arsenous acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
15,URXUAS5,0.71 To 148,Range Of Values,Urinary Arsenic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
16,URXUAS5,.,Missing,Urinary Arsenic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
17,URDUA5LC,0,At Or Above The Detection Limit,Urinary Arsenic acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
18,URDUA5LC,1,Below Lower Detection Limit,Urinary Arsenic acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
19,URDUA5LC,.,Missing,Urinary Arsenic acid comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
20,URXUAB,0.28 To 874,Range Of Values,Urinary Arsenobetaine (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
21,URXUAB,.,Missing,Urinary Arsenobetaine (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
22,URDUABLC,0,At Or Above The Detection Limit,Urinary Arsenobetaine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
23,URDUABLC,1,Below Lower Detection Limit,Urinary Arsenobetaine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
24,URDUABLC,.,Missing,Urinary Arsenobetaine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
25,URXUAC,0.42 To 10.9,Range Of Values,Urinary Arsenocholine (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
26,URXUAC,.,Missing,Urinary Arsenocholine (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
27,URDUACLC,0,At Or Above The Detection Limit,Urinary Arsenocholine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
28,URDUACLC,1,Below Lower Detection Limit,Urinary Arsenocholine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
29,URDUACLC,.,Missing,Urinary Arsenocholine comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
30,URXUDMA,1.2 To 270,Range Of Values,Urinary Dimethylarsonic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
31,URXUDMA,.,Missing,Urinary Dimethylarsonic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
32,URDUDALC,0,At Or Above The Detection Limit,Urinary Dimethylarsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
33,URDUDALC,1,Below Lower Detection Limit,Urinary Dimethylarsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
34,URDUDALC,.,Missing,Urinary Dimethylarsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
35,URXUMMA,0.64 To 54.2,Range Of Values,Urinary Monomethylacrsonic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
36,URXUMMA,.,Missing,Urinary Monomethylacrsonic acid (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
37,URDUMMAL,0,At Or Above The Detection Limit,Urinary Monomethylacrsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
38,URDUMMAL,1,Below Lower Detection Limit,Urinary Monomethylacrsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
39,URDUMMAL,.,Missing,Urinary Monomethylacrsonic acid comment,Both males and females 6 YEARS - 150 YEARS,nan,,
40,URXUTM,0.71 To 19.6,Range Of Values,Urinary Trimethylarsine Oxide (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
41,URXUTM,.,Missing,Urinary Trimethylarsine Oxide (ug/L),Both males and females 6 YEARS - 150 YEARS,nan,,
42,URDUTMLC,0,At Or Above The Detection Limit,Urinary Trimethylarsine Oxide comment,Both males and females 6 YEARS - 150 YEARS,nan,,
43,URDUTMLC,1,Below Lower Detection Limit,Urinary Trimethylarsine Oxide comment,Both males and females 6 YEARS - 150 YEARS,nan,,
44,URDUTMLC,.,Missing,Urinary Trimethylarsine Oxide comment,Both males and females 6 YEARS - 150 YEARS,nan,,
