,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,URXUMA,0.21 To 5440,Range Of Values,,
2,URXUMA,.,Missing,,
3,URXUMS,0.21 To 5440,Range Of Values,,
4,URXUMS,.,Missing,,
5,URXUCR,3 To 749,Range Of Values,,
6,URXUCR,.,Missing,,
7,URXCRS,265.2 To 66211.6,Range Of Values,,
8,URXCRS,.,Missing,,
9,URDACT,0.08 To 13787.88,Range Of Values,,
10,URDACT,.,Missing,,
11,URXUMA2,0.21 To 3730,Range Of Values,,
12,URXUMA2,.,Missing,,
13,URDUMA2S,0.21 To 3730,Range Of Values,,
14,URDUMA2S,.,Missing,,
15,URXUCR2,4 To 685,Range Of Values,,
16,URXUCR2,.,Missing,,
17,URDUCR2S,353.6 To 60554,Range Of Values,,
18,URDUCR2S,.,Missing,,
19,URDACT2,0.33 To 8817.39,Range Of Values,,
20,URDACT2,.,Missing,,
