,Column,Code,Label,Class,Other For
0,SAMPLEID,1 To 251,Range Of Values,,
1,SAMPLEID,.,Missing,,
2,RIDRETH3,1,Mexican American,,
3,RIDRETH3,2,Other Hispanic,,
4,RIDRETH3,3,Non-Hispanic White,,
5,RIDRETH3,4,Non-Hispanic Black,,
6,RIDRETH3,6,Non-Hispanic Asian,,
7,RIDRETH3,7,"Other Race, Including Multiracial",,
8,RIDRETH3,.,Missing,,
9,RIDAGGRP,1,12-19 Years,,
10,RIDAGGRP,2,20-39 Years,,
11,RIDAGGRP,3,40-59 Years,,
12,RIDAGGRP,4,60+ Years,,
13,RIDAGGRP,.,Missing,,
14,RIAGENDR,1,Male,,
15,RIAGENDR,2,Female,,
16,RIAGENDR,.,Missing,,
17,RIANSMP,2 To 8,Range Of Values,,
18,RIANSMP,.,Missing,,
19,WTSMSMPA,77222.153098 To 4835522.4391,Range Of Values,,
20,WTSMSMPA,.,Missing,,
21,LBCBB1,0.7071 To 218.5,Range Of Values,,
22,LBCBB1,.,Missing,,
23,LBCBB1LA,0.1131 To 36.35,Range Of Values,,
24,LBCBB1LA,.,Missing,,
25,LBDBB1LC,0,At Or Above The Detection Limit,,
26,LBDBB1LC,1,Below Lower Detection Limit,,
27,LBDBB1LC,.,Missing,,
28,LBCBR1,1.273 To 5.575,Range Of Values,,
29,LBCBR1,.,Missing,,
30,LBCBR1LA,0.1344 To 0.9885,Range Of Values,,
31,LBCBR1LA,.,Missing,,
32,LBDBR1LC,0,At Or Above The Detection Limit,,
33,LBDBR1LC,1,Below Lower Detection Limit,,
34,LBDBR1LC,.,Missing,,
35,LBCBR11,4.455 To 143.5,Range Of Values,,
36,LBCBR11,.,Missing,,
37,LBCBR11L,0.7071 To 23.64,Range Of Values,,
38,LBCBR11L,.,Missing,,
39,LBDBR11C,0,At Or Above The Detection Limit,,
40,LBDBR11C,1,Below Lower Detection Limit,,
41,LBDBR11C,.,Missing,,
42,LBCBR2,1.838 To 31.82,Range Of Values,,
43,LBCBR2,.,Missing,,
44,LBCBR2LA,0.297 To 4.75,Range Of Values,,
45,LBCBR2LA,.,Missing,,
46,LBDBR2LC,0,At Or Above The Detection Limit,,
47,LBDBR2LC,1,Below Lower Detection Limit,,
48,LBDBR2LC,.,Missing,,
49,LBCBR3,24.41 To 663.3,Range Of Values,,
50,LBCBR3,.,Missing,,
51,LBCBR3LA,4.114 To 114.5,Range Of Values,,
52,LBCBR3LA,.,Missing,,
53,LBDBR3LC,0,At Or Above The Detection Limit,,
54,LBDBR3LC,1,Below Lower Detection Limit,,
55,LBDBR3LC,.,Missing,,
56,LBCBR4,0.7071 To 19.12,Range Of Values,,
57,LBCBR4,.,Missing,,
58,LBCBR4LA,0.09899 To 3.39,Range Of Values,,
59,LBCBR4LA,.,Missing,,
60,LBDBR4LC,0,At Or Above The Detection Limit,,
61,LBDBR4LC,1,Below Lower Detection Limit,,
62,LBDBR4LC,.,Missing,,
63,LBCBR5,4.958 To 229.6,Range Of Values,,
64,LBCBR5,.,Missing,,
65,LBCBR5LA,0.7411 To 40.71,Range Of Values,,
66,LBCBR5LA,.,Missing,,
67,LBDBR5LC,0,At Or Above The Detection Limit,,
68,LBDBR5LC,1,Below Lower Detection Limit,,
69,LBDBR5LC,.,Missing,,
70,LBCBR6,4.383 To 140.6,Range Of Values,,
71,LBCBR6,.,Missing,,
72,LBCBR6LA,0.7387 To 23.98,Range Of Values,,
73,LBCBR6LA,.,Missing,,
74,LBDBR6LC,0,At Or Above The Detection Limit,,
75,LBDBR6LC,1,Below Lower Detection Limit,,
76,LBDBR6LC,.,Missing,,
77,LBCBR66,1.556 To 9.096,Range Of Values,,
78,LBCBR66,.,Missing,,
79,LBCBR66L,0.1626 To 1.312,Range Of Values,,
80,LBCBR66L,.,Missing,,
81,LBDBR66C,0,At Or Above The Detection Limit,,
82,LBDBR66C,1,Below Lower Detection Limit,,
83,LBDBR66C,.,Missing,,
84,LBCBR7,9.732 To 794,Range Of Values,,
85,LBCBR7,.,Missing,,
86,LBCBR7LA,1.64 To 132.1,Range Of Values,,
87,LBCBR7LA,.,Missing,,
88,LBDBR7LC,0,At Or Above The Detection Limit,,
89,LBDBR7LC,1,Below Lower Detection Limit,,
90,LBDBR7LC,.,Missing,,
91,LBCBR8,0.7071 To 19.54,Range Of Values,,
92,LBCBR8,.,Missing,,
93,LBCBR8LA,0.09192 To 3.533,Range Of Values,,
94,LBCBR8LA,.,Missing,,
95,LBDBR8LC,0,At Or Above The Detection Limit,,
96,LBDBR8LC,1,Below Lower Detection Limit,,
97,LBDBR8LC,.,Missing,,
98,LBCBR9,0.8485 To 19.43,Range Of Values,,
99,LBCBR9,.,Missing,,
100,LBCBR9LA,0.1131 To 3.67,Range Of Values,,
101,LBCBR9LA,.,Missing,,
102,LBDBR9LC,0,At Or Above The Detection Limit,,
103,LBDBR9LC,1,Below Lower Detection Limit,,
104,LBDBR9LC,.,Missing,,
