,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,LBXWBCSI,1.7 To 54.7,Range Of Values,,
2,LBXWBCSI,.,Missing,,
3,LBXLYPCT,2.7 To 83.2,Range Of Values,,
4,LBXLYPCT,.,Missing,,
5,LBXMOPCT,0.6 To 66.9,Range Of Values,,
6,LBXMOPCT,.,Missing,,
7,LBXNEPCT,0.8 To 96.6,Range Of Values,,
8,LBXNEPCT,.,Missing,,
9,LBXEOPCT,0 To 28.9,Range Of Values,,
10,LBXEOPCT,.,Missing,,
11,LBXBAPCT,0 To 14.4,Range Of Values,,
12,LBXBAPCT,.,Missing,,
13,LBDLYMNO,0.2 To 43.7,Range Of Values,,
14,LBDLYMNO,.,Missing,,
15,LBDMONO,0 To 10.2,Range Of Values,,
16,LBDMONO,.,Missing,,
17,LBDNENO,0.1 To 18.5,Range Of Values,,
18,LBDNENO,.,Missing,,
19,LBDEONO,0 To 3.7,Range Of Values,,
20,LBDEONO,.,Missing,,
21,LBDBANO,0 To 1.4,Range Of Values,,
22,LBDBANO,.,Missing,,
23,LBXRBCSI,2.49 To 7.05,Range Of Values,,
24,LBXRBCSI,.,Missing,,
25,LBXHGB,6.1 To 19.6,Range Of Values,,
26,LBXHGB,.,Missing,,
27,LBXHCT,20.6 To 57.7,Range Of Values,,
28,LBXHCT,.,Missing,,
29,LBXMCVSI,50.5 To 113.8,Range Of Values,,
30,LBXMCVSI,.,Missing,,
31,LBXMCHSI,14.9 To 39.6,Range Of Values,,
32,LBXMCHSI,.,Missing,,
33,LBXMC,25.1 To 38.5,Range Of Values,,
34,LBXMC,.,Missing,,
35,LBXRDW,.,Missing,,
36,LBXRDW,10.8 To 29.8,Range Of Values,,
37,LBXPLTSI,13 To 681,Range Of Values,,
38,LBXPLTSI,.,Missing,,
39,LBXMPSI,5.6 To 13.5,Range Of Values,,
40,LBXMPSI,.,Missing,,
