,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,nan,,
1,WTSA2YR,12199.652219 To 643202.3505,Range Of Values,Subsample A weights,Both males and females 6 YEARS - 150 YEARS,nan,,
2,WTSA2YR,.,Missing,Subsample A weights,Both males and females 6 YEARS - 150 YEARS,nan,,
3,URXUCR,4 To 800,Range Of Values,Urinary creatinine,Both males and females 6 YEARS - 150 YEARS,nan,,
4,URXUCR,.,Missing,Urinary creatinine,Both males and females 6 YEARS - 150 YEARS,nan,,
5,URXBP3,0.28 To 66600,Range Of Values,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3),Both males and females 6 YEARS - 150 YEARS,nan,,
6,URXBP3,.,Missing,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3),Both males and females 6 YEARS - 150 YEARS,nan,,
7,URDBP3LC,0,At Or Above The Detection Limit,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
8,URDBP3LC,1,Below Lower Detection Limit,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
9,URDBP3LC,.,Missing,Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
10,URXBPH,0.28 To 179,Range Of Values,Urinary Bisphenol A (ng/mL),Both males and females 6 YEARS - 150 YEARS,nan,,
11,URXBPH,.,Missing,Urinary Bisphenol A (ng/mL),Both males and females 6 YEARS - 150 YEARS,nan,,
12,URDBPHLC,0,At Or Above The Detection Limit,Urinary Bisphenol A comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
13,URDBPHLC,1,Below Lower Detection Limit,Urinary Bisphenol A comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
14,URDBPHLC,.,Missing,Urinary Bisphenol A comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
15,URXTRS,.,Missing,Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan),Both males and females 6 YEARS - 150 YEARS,nan,,
16,URXTRS,1.63 To 3830,Range Of Values,Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan),Both males and females 6 YEARS - 150 YEARS,nan,,
17,URDTRSLC,0,At Or Above The Detection Limit,Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
18,URDTRSLC,1,Below Lower Detection Limit,Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
19,URDTRSLC,.,Missing,Urinary 244’-Trichloro-2’-hydroxyphenyl ether (Triclosan) comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
20,URXBUP,0.14 To 308,Range Of Values,Butyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
21,URXBUP,.,Missing,Butyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
22,URDBUPLC,0,At Or Above The Detection Limit,Butyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
23,URDBUPLC,1,Below Lower Detection Limit,Butyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
24,URDBUPLC,.,Missing,Butyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
25,URXEPB,0.71 To 1140,Range Of Values,Ethyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
26,URXEPB,.,Missing,Ethyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
27,URDEPBLC,0,At Or Above The Detection Limit,Ethyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
28,URDEPBLC,1,Below Lower Detection Limit,Ethyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
29,URDEPBLC,.,Missing,Ethyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
30,URXMPB,0.71 To 13500,Range Of Values,Methyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
31,URXMPB,.,Missing,Methyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
32,URDMPBLC,0,At Or Above The Detection Limit,Methyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
33,URDMPBLC,1,Below Lower Detection Limit,Methyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
34,URDMPBLC,.,Missing,Methyl paraben comment,Both males and females 6 YEARS - 150 YEARS,nan,,
35,URXPPB,0.14 To 3320,Range Of Values,Propyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
36,URXPPB,.,Missing,Propyl paraben (ng/ml),Both males and females 6 YEARS - 150 YEARS,nan,,
37,URDPPBLC,0,At Or Above The Detection Limit,Propyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
38,URDPPBLC,1,Below Lower Detection Limit,Propyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
39,URDPPBLC,.,Missing,Propyl paraben comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
