,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTSOG2YR,0 To 565085.973,Range Of Values,,
2,WTSOG2YR,.,Missing,,
3,GTDSCMMN,0 To 10,Range Of Values,,
4,GTDSCMMN,.,Missing,,
5,GTDDR1MN,0 To 49,Range Of Values,,
6,GTDDR1MN,.,Missing,,
7,GTDBL2MN,7 To 167,Range Of Values,,
8,GTDBL2MN,.,Missing,,
9,GTDDR2MN,92 To 145,Range Of Values,,
10,GTDDR2MN,.,Missing,,
11,GTXDRANK,1,All,,
12,GTXDRANK,2,Some,,
13,GTXDRANK,3,None,,
14,GTXDRANK,.,Missing,,
15,PHAFSTHR,8 To 23,Range Of Values,,
16,PHAFSTHR,.,Missing,,
17,PHAFSTMN,0 To 59,Range Of Values,,
18,PHAFSTMN,.,Missing,,
19,GTDCODE,0,Ogtt Complete,,
20,GTDCODE,20,Hemophiliac,,
21,GTDCODE,21,Cancer Chemotherapy Within 4 Weeks,,
22,GTDCODE,22,Diabetic On Medications,,
23,GTDCODE,23,Refused Venipuncture,,
24,GTDCODE,24,Ill/Faint During Test,,
25,GTDCODE,25,Venipuncture Unsuccessful,,
26,GTDCODE,26,Currently Pregnant,,
27,GTDCODE,27,Refused Glucose Challenge,,
28,GTDCODE,28,Fasting Less Than 9 Hours,,
29,GTDCODE,29,Came Late/Left Early,,
30,GTDCODE,30,Other,,
31,GTDCODE,.,Missing,,
32,LBXGLT,31 To 539,Range Of Values,,
33,LBXGLT,.,Missing,,
34,LBDGLTSI,1.721 To 29.92,Range Of Values,,
35,LBDGLTSI,.,Missing,,
