,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SAMPLEID,1 To 284,Range Of Values,Pool identification number,Both males and females 12 YEARS - 150 YEARS,nan,,
1,SAMPLEID,.,Missing,Pool identification number,Both males and females 12 YEARS - 150 YEARS,nan,,
2,RIDRETH3,3,Non-Hispanic White,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
3,RIDRETH3,4,Non-Hispanic Black,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
4,RIDRETH3,6,Non-Hispanic Asian,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
5,RIDRETH3,7,"Other Race, Including Multiracial",Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
6,RIDRETH3,.,Missing,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
7,RIDRETH3,1,Mexican American,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
8,RIDRETH3,2,Other Hispanic,Recode of reported race and Hispanic origin information,Both males and females 12 YEARS - 150 YEARS,nan,,
9,RIDAGGRP,1,12-19,Age group,Both males and females 12 YEARS - 150 YEARS,nan,,
10,RIDAGGRP,2,20-39,Age group,Both males and females 12 YEARS - 150 YEARS,nan,,
11,RIDAGGRP,3,40-59,Age group,Both males and females 12 YEARS - 150 YEARS,nan,,
12,RIDAGGRP,4,60+,Age group,Both males and females 12 YEARS - 150 YEARS,nan,,
13,RIDAGGRP,.,Missing,Age group,Both males and females 12 YEARS - 150 YEARS,nan,,
14,RIAGENDR,1,Male,Gender,Both males and females 12 YEARS - 150 YEARS,nan,,
15,RIAGENDR,2,Female,Gender,Both males and females 12 YEARS - 150 YEARS,nan,,
16,RIAGENDR,.,Missing,Gender,Both males and females 12 YEARS - 150 YEARS,nan,,
17,RIANSMP,2 To 8,Range Of Values,Number of samples in a pool,Both males and females 12 YEARS - 150 YEARS,nan,,
