,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTSSBH2Y,18617.10368 To 503724.60594,Range Of Values,,
2,WTSSBH2Y,0,No Lab Specimen,,
3,WTSSBH2Y,.,Missing,,
4,SSNPFOA,0.07 To 85.2,Range Of Values,,
5,SSNPFOA,.,Missing,,
6,SDNPFOAL,0,At Or Above The Detection Limit,,
7,SDNPFOAL,1,Below Lower Detection Limit,,
8,SDNPFOAL,.,Missing,,
9,SSBPFOA,0.07 To 3,Range Of Values,,
10,SSBPFOA,.,Missing,,
11,SDBPFOAL,0,At Or Above The Detection Limit,,
12,SDBPFOAL,1,Below Lower Detection Limit,,
13,SDBPFOAL,.,Missing,,
14,SSNPFOS,0.07 To 1270,Range Of Values,,
15,SSNPFOS,.,Missing,,
16,SDNPFOSL,0,At Or Above The Detection Limit,,
17,SDNPFOSL,1,Below Lower Detection Limit,,
18,SDNPFOSL,.,Missing,,
19,SSMPFOS,0.07 To 133,Range Of Values,,
20,SSMPFOS,.,Missing,,
21,SDMPFOSL,0,At Or Above The Detection Limit,,
22,SDMPFOSL,1,Below Lower Detection Limit,,
23,SDMPFOSL,.,Missing,,
