,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,URXNAL,0.0004 To 890,Range Of Values,,
2,URXNAL,.,Missing,,
3,URDNALLC,0,At Or Above Detection Limit,,
4,URDNALLC,1,Below Lower Detection Limit,,
5,URDNALLC,.,Missing,,
6,URXNAB,0.0011 To 31,Range Of Values,,
7,URXNAB,.,Missing,,
8,URDNABLC,0,At Or Above Detection Limit,,
9,URDNABLC,1,Below Lower Detection Limit,,
10,URDNABLC,.,Missing,,
11,URXNAT,0.003 To 14.8,Range Of Values,,
12,URXNAT,.,Missing,,
13,URDNATLC,0,At Or Above Detection Limit,,
14,URDNATLC,1,Below Lower Detection Limit,,
15,URDNATLC,.,Missing,,
16,URXNNN,0.002 To 4.13,Range Of Values,,
17,URXNNN,.,Missing,,
18,URDNNNLC,0,At Or Above Detection Limit,,
19,URDNNNLC,1,Below Lower Detection Limit,,
20,URDNNNLC,.,Missing,,
