,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTSA2YR,6552.119284 To 708844.24678,Range Of Values,,
2,WTSA2YR,0,Participants 6+ Years With No Lab Specimen,,
3,WTSA2YR,.,Missing,,
4,URXUBA,0.042 To 58.66,Range Of Values,,
5,URXUBA,.,Missing,,
6,URDUBALC,0,At Or Above The Detection Limit,,
7,URDUBALC,1,Below Lower Detection Limit,,
8,URDUBALC,.,Missing,,
9,URXUCD,0.025 To 3.141,Range Of Values,,
10,URXUCD,.,Missing,,
11,URDUCDLC,0,At Or Above The Detection Limit,,
12,URDUCDLC,1,Below Lower Detection Limit,,
13,URDUCDLC,.,Missing,,
14,URXUCO,0.016 To 33.661,Range Of Values,,
15,URXUCO,.,Missing,,
16,URDUCOLC,0,At Or Above The Detection Limit,,
17,URDUCOLC,1,Below Lower Detection Limit,,
18,URDUCOLC,.,Missing,,
19,URXUCS,0.061 To 110.873,Range Of Values,,
20,URXUCS,.,Missing,,
21,URDUCSLC,0,At Or Above The Detection Limit,,
22,URDUCSLC,1,Below Lower Detection Limit,,
23,URDUCSLC,.,Missing,,
24,URXUMO,1.18 To 1023.13,Range Of Values,,
25,URXUMO,.,Missing,,
26,URDUMOLC,0,At Or Above The Detection Limit,,
27,URDUMOLC,1,Below Lower Detection Limit,,
28,URDUMOLC,.,Missing,,
29,URXUMN,0.092 To 18.17,Range Of Values,,
30,URXUMN,.,Missing,,
31,URDUMNLC,0,At Or Above The Detection Limit,,
32,URDUMNLC,1,Below Lower Detection Limit,,
33,URDUMNLC,.,Missing,,
34,URXUPB,0.02 To 18.53,Range Of Values,,
35,URXUPB,.,Missing,,
36,URDUPBLC,0,At Or Above The Detection Limit,,
37,URDUPBLC,1,Below Lower Detection Limit,,
38,URDUPBLC,.,Missing,,
39,URXUSB,0.016 To 14.291,Range Of Values,,
40,URXUSB,.,Missing,,
41,URDUSBLC,0,At Or Above The Detection Limit,,
42,URDUSBLC,1,Below Lower Detection Limit,,
43,URDUSBLC,.,Missing,,
44,URXUSN,0.064 To 86.39,Range Of Values,,
45,URXUSN,.,Missing,,
46,URDUSNLC,0,At Or Above The Detection Limit,,
47,URDUSNLC,1,Below Lower Detection Limit,,
48,URDUSNLC,.,Missing,,
49,URXUSR,1.655 To 927.71,Range Of Values,,
50,URXUSR,.,Missing,,
51,URDUSRLC,0,At Or Above The Detection Limit,,
52,URDUSRLC,1,Below Lower Detection Limit,,
53,URDUSRLC,.,Missing,,
54,URXUTL,0.013 To 7.658,Range Of Values,,
55,URXUTL,.,Missing,,
56,URDUTLLC,0,At Or Above The Detection Limit,,
57,URDUTLLC,1,Below Lower Detection Limit,,
58,URDUTLLC,.,Missing,,
59,URXUTU,0.013 To 8.164,Range Of Values,,
60,URXUTU,.,Missing,,
61,URDUTULC,0,At Or Above The Detection Limit,,
62,URDUTULC,1,Below Lower Detection Limit,,
63,URDUTULC,.,Missing,,
64,URXUUR,0.0014 To 0.7696,Range Of Values,,
65,URXUUR,.,Missing,,
66,URDUURLC,0,At Or Above The Detection Limit,,
67,URDUURLC,1,Below Lower Detection Limit,,
68,URDUURLC,.,Missing,,
