,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,nan,,
1,LBXWBCSI,1.9 To 74.2,Range Of Values,White blood cell count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
2,LBXWBCSI,400,400 And Over,White blood cell count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
3,LBXWBCSI,.,Missing,White blood cell count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
4,LBXLYPCT,4.4 To 89.7,Range Of Values,Lymphocyte percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
5,LBXLYPCT,.,Missing,Lymphocyte percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
6,LBXMOPCT,0.7 To 57.2,Range Of Values,Monocyte percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
7,LBXMOPCT,.,Missing,Monocyte percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
8,LBXNEPCT,8.4 To 92.8,Range Of Values,Segmented neutrophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
9,LBXNEPCT,.,Missing,Segmented neutrophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
10,LBXEOPCT,0 To 29.1,Range Of Values,Eosinophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
11,LBXEOPCT,.,Missing,Eosinophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
12,LBXBAPCT,0.1 To 4.8,Range Of Values,Basophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
13,LBXBAPCT,.,Missing,Basophils percent (%),Both males and females 1 YEARS - 150 YEARS,nan,,
14,LBDLYMNO,0.4 To 358.8,Range Of Values,Lymphocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
15,LBDLYMNO,.,Missing,Lymphocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
16,LBDMONO,0.1 To 6.7,Range Of Values,Monocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
17,LBDMONO,.,Missing,Monocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
18,LBDNENO,0.4 To 35.2,Range Of Values,Segmented neutrophils number (1000 cell/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
19,LBDNENO,.,Missing,Segmented neutrophils number (1000 cell/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
20,LBDEONO,0 To 3.2,Range Of Values,Eosinophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
21,LBDEONO,.,Missing,Eosinophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
22,LBDBANO,0 To 0.5,Range Of Values,Basophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
23,LBDBANO,.,Missing,Basophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
24,LBXRBCSI,2.32 To 7.84,Range Of Values,Red blood cell count (million cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
25,LBXRBCSI,.,Missing,Red blood cell count (million cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
26,LBXHGB,6.4 To 19.9,Range Of Values,Hemoglobin (g/dL),Both males and females 1 YEARS - 150 YEARS,nan,,
27,LBXHGB,.,Missing,Hemoglobin (g/dL),Both males and females 1 YEARS - 150 YEARS,nan,,
28,LBXHCT,23 To 58.8,Range Of Values,Hematocrit (%),Both males and females 1 YEARS - 150 YEARS,nan,,
29,LBXHCT,.,Missing,Hematocrit (%),Both males and females 1 YEARS - 150 YEARS,nan,,
30,LBXMCVSI,35.4 To 114.6,Range Of Values,Mean cell volume (fL),Both males and females 1 YEARS - 150 YEARS,nan,,
31,LBXMCVSI,.,Missing,Mean cell volume (fL),Both males and females 1 YEARS - 150 YEARS,nan,,
32,LBXMCHSI,12.4 To 39.2,Range Of Values,Mean cell hemoglobin (pg),Both males and females 1 YEARS - 150 YEARS,nan,,
33,LBXMCHSI,.,Missing,Mean cell hemoglobin (pg),Both males and females 1 YEARS - 150 YEARS,nan,,
34,LBXMC,25.2 To 38.3,Range Of Values,Mean cell hemoglobin concentration (g/dL),Both males and females 1 YEARS - 150 YEARS,nan,,
35,LBXMC,.,Missing,Mean cell hemoglobin concentration (g/dL),Both males and females 1 YEARS - 150 YEARS,nan,,
36,LBXRDW,11.3 To 29.2,Range Of Values,Red cell distribution width (%),Both males and females 1 YEARS - 150 YEARS,nan,,
37,LBXRDW,.,Missing,Red cell distribution width (%),Both males and females 1 YEARS - 150 YEARS,nan,,
38,LBXPLTSI,8 To 818,Range Of Values,Platelet count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
39,LBXPLTSI,.,Missing,Platelet count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,nan,,
40,LBXMPSI,5.4 To 13,Range Of Values,Mean platelet volume (fL),Both males and females 1 YEARS - 150 YEARS,nan,,
41,LBXMPSI,.,Missing,Mean platelet volume (fL),Both males and females 1 YEARS - 150 YEARS,nan,,
42,LBXNRBC,0 To 2,Range Of Values,Nucleated red blood cells,Both males and females 1 YEARS - 150 YEARS,nan,,
43,LBXNRBC,.,Missing,Nucleated red blood cells,Both males and females 1 YEARS - 150 YEARS,nan,,
