,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number,Both males and females 1 YEARS - 150 YEARS,nan,,
1,LBXBPB,0.05 To 42.48,Range Of Values,Blood lead (ug/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
2,LBXBPB,.,Missing,Blood lead (ug/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
3,LBDBPBSI,0 To 2.05,Range Of Values,Blood lead (umol/L),Both males and females 6 YEARS - 150 YEARS,nan,,
4,LBDBPBSI,.,Missing,Blood lead (umol/L),Both males and females 6 YEARS - 150 YEARS,nan,,
5,LBDBPBLC,0,At Or Above The Detection Limit,Blood lead comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
6,LBDBPBLC,1,Below Lower Detection Limit,Blood lead comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
7,LBDBPBLC,.,Missing,Blood lead comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
8,LBXBCD,0.07 To 13.03,Range Of Values,Blood cadmium (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
9,LBXBCD,.,Missing,Blood cadmium (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
10,LBDBCDSI,0.62 To 115.93,Range Of Values,Blood cadmium (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
11,LBDBCDSI,.,Missing,Blood cadmium (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
12,LBDBCDLC,0,At Or Above The Detection Limit,Blood cadmium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
13,LBDBCDLC,1,Below Lower Detection Limit,Blood cadmium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
14,LBDBCDLC,.,Missing,Blood cadmium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
15,LBXTHG,0.2 To 63.64,Range Of Values,Blood mercury total (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
16,LBXTHG,.,Missing,Blood mercury total (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
17,LBDTHGSI,1 To 317.56,Range Of Values,Blood mercury total (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
18,LBDTHGSI,.,Missing,Blood mercury total (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
19,LBDTHGLC,0,At Or Above The Detection Limit,Blood mercury total comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
20,LBDTHGLC,1,Below Lower Detection Limit,Blood mercury total comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
21,LBDTHGLC,.,Missing,Blood mercury total comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
22,LBXBSE,84.67 To 453.62,Range Of Values,Blood selenium(ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
23,LBXBSE,.,Missing,Blood selenium(ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
24,LBDBSESI,1.08 To 5.76,Range Of Values,Blood selenium (umol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
25,LBDBSESI,.,Missing,Blood selenium (umol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
26,LBDBSELC,0,At Or Above The Detection Limit,Blood selenium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
27,LBDBSELC,1,Below Lower Detection Limit,Blood selenium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
28,LBDBSELC,.,Missing,Blood selenium comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
29,LBXBMN,1.57 To 52,Range Of Values,Blood manganese (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
30,LBXBMN,.,Missing,Blood manganese (ug/L),Both males and females 1 YEARS - 150 YEARS,nan,,
31,LBDBMNSI,28.58 To 946.5,Range Of Values,Blood manganese (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
32,LBDBMNSI,.,Missing,Blood manganese (nmol/L),Both males and females 1 YEARS - 150 YEARS,nan,,
33,LBDBMNLC,0,At Or Above The Detection Limit,Blood manganese comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
34,LBDBMNLC,1,Below Lower Detection Limit,Blood manganese comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
35,LBDBMNLC,.,Missing,Blood manganese comment code,Both males and females 1 YEARS - 150 YEARS,nan,,
