,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,LBDCOTLC,0,At Or Above The Detection Limit,Cotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
1,LBDCOTLC,1,Below Lower Detection Limit,Cotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
2,LBDCOTLC,.,Missing,Cotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
3,LBDHCOLC,0,At Or Above Detection Limit,Hydroxycotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
4,LBDHCOLC,1,Below Lower Detection Limit,Hydroxycotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
5,LBDHCOLC,.,Missing,Hydroxycotinine Serum Comment Code,Both males and females 3 YEARS - 150 YEARS,nan,,
6,LBXCOT,0.011 To 1620,Range Of Values,Cotinine Serum (ng/mL),Both males and females 3 YEARS - 150 YEARS,nan,,
7,LBXCOT,.,Missing,Cotinine Serum (ng/mL),Both males and females 3 YEARS - 150 YEARS,nan,,
8,LBXHCOT,0.011 To 1520,Range Of Values,Hydroxycotinine Serum (ng/mL),Both males and females 3 YEARS - 150 YEARS,nan,,
9,LBXHCOT,.,Missing,Hydroxycotinine Serum (ng/mL),Both males and females 3 YEARS - 150 YEARS,nan,,
10,SEQN,,,Respondent sequence number,Both males and females 3 YEARS - 150 YEARS,nan,,
