,Column,Code,Label,Class,Other For
0,PHAALCHR,0 To 17,Range Of Values,,
1,PHAALCHR,.,Missing,,
2,PHAALCMN,0 To 59,Range Of Values,,
3,PHAALCMN,.,Missing,,
4,PHAANTHR,0 To 20,Range Of Values,,
5,PHAANTHR,.,Missing,,
6,PHAANTMN,0 To 59,Range Of Values,,
7,PHAANTMN,.,Missing,,
8,PHACOFHR,0 To 17,Range Of Values,,
9,PHACOFHR,.,Missing,,
10,PHACOFMN,0 To 59,Range Of Values,,
11,PHACOFMN,.,Missing,,
12,PHAFSTHR,0 To 29,Range Of Values,,
13,PHAFSTHR,30,30 Hours Or More,,
14,PHAFSTHR,.,Missing,,
15,PHAFSTMN,0 To 59,Range Of Values,,
16,PHAFSTMN,.,Missing,,
17,PHAGUMHR,0 To 23,Range Of Values,,
18,PHAGUMHR,.,Missing,,
19,PHAGUMMN,0 To 59,Range Of Values,,
20,PHAGUMMN,.,Missing,,
21,PHASUPHR,0 To 16,Range Of Values,,
22,PHASUPHR,.,Missing,,
23,PHASUPMN,0 To 59,Range Of Values,,
24,PHASUPMN,.,Missing,,
25,PHDSESN,0,Morning,,
26,PHDSESN,1,Afternoon,,
27,PHDSESN,2,Evening,,
28,PHDSESN,.,Missing,,
29,PHQ020,1,Yes,,
30,PHQ020,2,No,,
31,PHQ020,.,Missing,,
32,PHQ030,1,Yes,,
33,PHQ030,2,No,,
34,PHQ030,.,Missing,,
35,PHQ040,1,Yes,,
36,PHQ040,2,No,,
37,PHQ040,.,Missing,,
38,PHQ050,1,Yes,,
39,PHQ050,2,No,,
40,PHQ050,.,Missing,,
41,PHQ060,1,Yes,,
42,PHQ060,2,No,,
43,PHQ060,.,Missing,,
44,SEQN,,,,
