,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,URDFLOW1,0 To 53,Range Of Values,,
2,URDFLOW1,.,Missing,,
3,URDFLOW2,0.006 To 14.95,Range Of Values,,
4,URDFLOW2,.,Missing,,
5,URDFLOW3,0.097 To 5.345,Range Of Values,,
6,URDFLOW3,.,Missing,,
7,URDTIME1,2 To 1406,Range Of Values,,
8,URDTIME1,.,Missing,,
9,URDTIME2,10 To 216,Range Of Values,,
10,URDTIME2,.,Missing,,
11,URDTIME3,31 To 148,Range Of Values,,
12,URDTIME3,.,Missing,,
13,URXVOL1,0 To 455,Range Of Values,,
14,URXVOL1,.,Missing,,
15,URXVOL2,1 To 444,Range Of Values,,
16,URXVOL2,.,Missing,,
17,URXVOL3,0 To 373,Range Of Values,,
18,URXVOL3,.,Missing,,
