,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,URDMUCLC,0,At Or Above The Detection Limit,,
2,URDMUCLC,1,Below Lower Detection Limit,,
3,URDMUCLC,.,Missing,,
4,URDPMALC,0,At Or Above The Detection Limit,,
5,URDPMALC,1,Below Lower Detection Limit,,
6,URDPMALC,.,Missing,,
7,URXMUCA,6.94 To 15800,Range Of Values,,
8,URXMUCA,.,Missing,,
9,URXPHMA,0.106 To 30.6,Range Of Values,,
10,URXPHMA,.,Missing,,
11,WTVOC2PP,3224.402553 To 1023924.8166,Range Of Values,,
12,WTVOC2PP,0,Participants 3+ Years With No Lab Specimen,,
13,WTVOC2PP,.,Missing,,
