,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTPH2YR,4391.8220579 To 253478.77765,Range Of Values,,
2,WTPH2YR,0,No Blood Sample Provided,,
3,WTPH2YR,.,Missing,,
4,LBXBPB,0.085 To 48.07,Range Of Values,,
5,LBXBPB,.,Missing,,
6,LBDBPBSI,0.004 To 2.322,Range Of Values,,
7,LBDBPBSI,.,Missing,,
8,LBDBPBLC,0,At Or Above The Detection Limit,,
9,LBDBPBLC,1,Below Lower Detection Limit,,
10,LBDBPBLC,.,Missing,,
11,LBXBCD,0.046 To 8.379,Range Of Values,,
12,LBXBCD,.,Missing,,
13,LBDBCDSI,0.409 To 74.548,Range Of Values,,
14,LBDBCDSI,.,Missing,,
15,LBDBCDLC,0,At Or Above The Detection Limit,,
16,LBDBCDLC,1,Below Lower Detection Limit,,
17,LBDBCDLC,.,Missing,,
18,LBXTHG,0.12 To 42.49,Range Of Values,,
19,LBXTHG,.,Missing,,
20,LBDTHGSI,0.6 To 212.03,Range Of Values,,
21,LBDTHGSI,.,Missing,,
22,LBDTHGLC,0,At Or Above The Detection Limit,,
23,LBDTHGLC,1,Below Lower Detection Limit,,
24,LBDTHGLC,.,Missing,,
25,LBXBSE,86 To 867.7,Range Of Values,,
26,LBXBSE,.,Missing,,
27,LBDBSESI,1.09 To 11.02,Range Of Values,,
28,LBDBSESI,.,Missing,,
29,LBDBSELC,0,At Or Above The Detection Limit,,
30,LBDBSELC,1,Below Lower Detection Limit,,
31,LBDBSELC,.,Missing,,
32,LBXBMN,2.48 To 63.17,Range Of Values,,
33,LBXBMN,.,Missing,,
34,LBDBMNSI,45.14 To 1149.82,Range Of Values,,
35,LBDBMNSI,.,Missing,,
36,LBDBMNLC,0,At Or Above The Detection Limit,,
37,LBDBMNLC,1,Below Lower Detection Limit,,
38,LBDBMNLC,.,Missing,,
