,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
1,LBDC1,Cryptosporidium (17kDA),Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
2,LBDC2,Cryptosporidium (27kDA),Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
3,LBXTO1,Toxoplasma (IgG),Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
4,LBXTO2,Toxoplasma (IgM),Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
5,LBXTO3,Toxoplasma (Dye) Positive => 1:8,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
6,LBXTO4,Toxoplasma Differential Agglutination,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
7,LBXTO4IN,Toxoplasma Agglutin interpretation,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
8,LBXTO5,Toxoplasma (Avidity) IgG,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
9,LBXTO5IN,Toxoplasma (Avidity IgG) interpretation,Both males and females 6 YEARS - 49 YEARS,,,,,,,,,,,,,
